日	5224.13
人	4813.899999999989
年	3190.320000000003
一	3170.8599999999974
本	3066.2300000000005
大	3030.9299999999967
事	2791.429999999999
思	2705.09
分	2641.6299999999974
出	2518.279999999995
会	2514.48
的	2464.999999999999
中	2449.090000000002
時	2376.219999999999
行	2363.0799999999986
見	2332.939999999996
国	2318.5299999999966
方	2225.7700000000004
自	2219.9299999999985
生	2206.079999999996
言	2133.59
者	2127.4799999999996
間	2114.469999999998
上	2090.5899999999997
月	2037.4100000000005
今	1981.2599999999998
私	1823.17
学	1775.2099999999998
合	1767.3300000000006
場	1670.310000000001
気	1632.2600000000016
入	1567.1300000000008
前	1557.6500000000008
手	1500.7300000000005
業	1489.4799999999998
実	1468.7200000000007
定	1461.7899999999997
理	1446.4400000000007
用	1408.6100000000006
後	1373.1799999999996
子	1355.970000000002
社	1337.820000000001
作	1320.1999999999998
発	1304.7300000000007
当	1301.89
対	1301.3099999999993
地	1295.0800000000017
書	1294.3400000000017
体	1284.9100000000005
問	1264.2199999999998
最	1252.7000000000007
法	1247.48
関	1247.3199999999995
度	1239.0300000000004
動	1229.6200000000003
考	1213.25
性	1210.2300000000007
意	1198.34
何	1191.2900000000004
感	1187.7100000000003
来	1186.0200000000013
目	1172.7700000000002
話	1172.16
部	1169.8000000000015
要	1163.2300000000002
全	1133.8900000000008
力	1129.2099999999991
現	1124.08
記	1116.8000000000004
新	1114.1
回	1106.4600000000005
長	1083.8300000000002
同	1076.1700000000008
通	1069.4199999999998
物	1050.7800000000004
題	1047.4600000000003
金	1040.78
員	1004.2099999999998
化	998.6599999999995
家	996.6100000000008
内	979.7999999999996
知	979.4500000000004
持	967.7
下	965.8599999999999
高	964.9799999999998
成	939.8000000000003
多	933.6300000000007
明	932.2000000000005
教	930.6999999999997
立	925.7399999999997
代	918.7100000000004
先	905.81
名	887.24
数	881.8999999999997
開	881.8399999999997
以	874.5299999999999
報	871.2300000000002
文	865.8700000000003
心	865.7899999999996
使	862.9400000000003
取	861.6799999999998
外	848.55
無	842.49
所	834.9799999999999
政	833.7200000000003
主	831.6499999999994
世	826.1300000000003
語	825.1600000000002
変	822.8999999999997
不	808.0800000000002
経	805.3400000000003
情	797.4700000000003
小	771.4299999999993
機	769.45
女	768.8199999999996
結	756.3899999999998
画	755.0499999999998
表	754.5999999999999
味	744.39
民	740.8399999999999
点	738.7900000000004
解	731.0199999999999
面	725.66
能	724.95
少	724.0999999999996
品	722.6099999999999
彼	705.0899999999998
必	703.67
近	697.8599999999999
議	695.2500000000002
連	689.66
決	687.19
期	685.8299999999997
在	685.3100000000002
活	679.7699999999996
楽	678.01
戦	676.4300000000001
様	673.7099999999998
第	668.6
二	667.98
特	662.8500000000006
聞	656.2800000000003
続	650.6600000000001
食	642.2399999999999
正	636.5499999999995
論	634.4400000000003
公	634.12
制	630.5799999999998
向	625.2600000000001
利	623.6499999999995
市	622.6600000000002
界	621.0200000000002
道	619.2600000000003
読	619.08
強	616.1600000000002
相	609.6500000000001
受	606.3299999999996
保	599.35
十	593.1499999999999
務	590.3600000000001
信	589.5899999999996
加	587.6099999999999
確	584.9300000000001
産	583.4099999999996
仕	580.1799999999997
違	579.45
集	578.2200000000001
付	576.3100000000004
常	575.7000000000002
資	569.61
調	568.72
料	566.8000000000001
投	564.4500000000004
円	561.0000000000001
初	559.7200000000003
次	556.9100000000001
重	556.3400000000007
田	552.9799999999999
選	549.6400000000001
組	546.5599999999998
安	545.44
電	544.1200000000001
良	537.97
状	536.43
売	535.7199999999999
価	534.82
設	534.76
計	528.7699999999999
得	527.9699999999999
指	525.6199999999999
果	524.9900000000001
身	518.6299999999999
有	516.2399999999996
三	515.2999999999996
切	514.0899999999999
別	513.9200000000002
進	511.5400000000001
他	510.12999999999994
原	505.92
真	504.75999999999965
参	503.50999999999993
際	500.1500000000001
然	495.9299999999999
説	491.50999999999993
基	491.45000000000005
引	488.16
音	484.12999999999994
予	477.46000000000004
判	476.96
込	476.75000000000034
過	476.52000000000004
東	476.4399999999998
神	474.4000000000004
質	472.2500000000001
可	469.2000000000001
水	466.6200000000001
車	465.14
番	462.15000000000015
終	460.73999999999995
応	458.92999999999995
件	458.15999999999997
山	455.34999999999985
係	453.46000000000015
約	451.51000000000005
認	449.71999999999997
権	448.4100000000001
等	447.6900000000001
始	446.8400000000001
直	444.67000000000013
達	444.6
委	441.23
店	441.03000000000003
格	435.1400000000001
示	434.87000000000006
野	434.29999999999984
想	433.0899999999999
育	432.1700000000001
平	430.87
校	429.42
万	429.0999999999999
共	428.28000000000003
好	425.2200000000001
運	424.1899999999998
海	424.08000000000004
買	423.09000000000015
非	420.6699999999999
置	419.5299999999999
験	417.64000000000004
術	414.39
供	412.5899999999999
例	412.0400000000001
治	411.66999999999985
流	409.2800000000001
映	405.5799999999999
起	402.3000000000001
式	400.73999999999995
構	395.18000000000023
研	393.65999999999985
検	392.05000000000007
反	391.57000000000005
義	391.51000000000016
容	391.5000000000001
告	391.0400000000001
観	389.31
限	387.2399999999999
元	383.53000000000003
済	379.45
男	378.7599999999999
支	377.63999999999993
形	375.1800000000001
朝	372.83000000000004
提	372.42999999999995
存	372.2899999999999
識	372.15000000000003
企	371.75
態	370.96999999999986
単	370.02000000000004
改	368.0199999999999
由	367.8299999999999
空	366.28000000000003
葉	365.4299999999999
送	364.8299999999999
悪	363.9700000000001
個	361.55000000000007
笑	360.87
君	360.23
屋	358.2
配	358.0400000000002
交	357.30000000000024
査	356.08999999999986
口	355.6800000000001
着	355.37999999999994
広	352.62000000000006
米	350.3399999999999
