i	Degree	Interconnections	CC	APL	SS
0	115	6555	1.00000	1.86751	3.00000
1	118	6632	0.96074	1.86278	3.00000
2	74	2042	0.75602	1.96057	4.00000
3	181	10603	0.65089	1.73659	3.00000
4	154	8426	0.71522	1.79022	3.00000
5	118	6623	0.95944	1.86278	3.00000
6	151	8723	0.77024	1.79653	3.00000
7	200	11105	0.55804	1.70347	3.00000
8	149	8661	0.78551	1.79968	3.00000
9	163	9120	0.69075	1.77603	3.00000
10	159	8621	0.68633	1.79968	4.00000
11	30	382	0.87816	2.16562	4.00000
12	44	629	0.66490	2.07256	4.00000
13	219	12330	0.51653	1.67192	3.00000
14	3	3	1.00000	2.85016	5.00000
15	120	6643	0.93039	1.85804	3.00000
16	137	6977	0.74893	1.82808	3.00000
17	204	12676	0.61219	1.70978	3.00000
18	52	1326	1.00000	2.04890	4.00000
19	1	0	    NaN	2.86909	5.00000
20	37	631	0.94745	2.10883	4.00000
21	163	7344	0.55624	1.78864	4.00000
22	14	91	1.00000	2.26341	4.00000
23	125	6891	0.88916	1.85016	3.00000
24	41	555	0.67683	2.08044	4.00000
25	34	497	0.88592	2.09937	4.00000
26	44	597	0.63108	2.07413	4.00000
27	34	498	0.88770	2.11987	4.00000
28	128	6946	0.85458	1.84385	3.00000
29	104	3035	0.56665	1.90221	3.00000
30	182	9391	0.57015	1.74921	3.00000
31	83	2071	0.60858	1.95741	4.00000
32	84	2114	0.60643	1.95899	4.00000
33	97	2432	0.52234	1.91483	4.00000
34	49	723	0.61480	2.05363	4.00000
35	143	7332	0.72215	1.81861	3.00000
36	76	1255	0.44035	1.95741	4.00000
37	181	9264	0.56869	1.74290	3.00000
38	218	13285	0.56166	1.68770	3.00000
39	229	12304	0.47131	1.65457	3.00000
40	244	15013	0.50641	1.63407	3.00000
41	42	594	0.68990	2.05836	4.00000
42	248	13405	0.43767	1.62461	3.00000
43	115	3370	0.51411	1.87066	4.00000
44	46	629	0.60773	2.05521	4.00000
45	234	14652	0.53747	1.65142	3.00000
46	146	6644	0.62768	1.81703	4.00000
