i	Degree	Interconnections	CC	APL	SS
0	34	561	1.00000	2.10145	6.00000
1	19	109	0.63743	2.30918	6.00000
2	44	682	0.72093	2.01932	6.00000
3	37	579	0.86937	2.06280	6.00000
4	44	656	0.69345	1.98551	6.00000
5	35	385	0.64706	2.07729	5.00000
6	14	91	1.00000	2.38164	6.00000
7	1	0	    NaN	3.21256	6.00000
8	16	106	0.88333	2.35266	6.00000
9	47	480	0.44403	2.01932	5.00000
10	1	0	    NaN	2.91787	7.00000
11	39	600	0.80972	2.05314	6.00000
12	18	113	0.73856	2.28986	6.00000
13	24	152	0.55072	2.16908	6.00000
14	48	692	0.61348	1.97101	6.00000
15	58	889	0.53781	1.87440	5.00000
16	60	819	0.46271	1.87923	6.00000
17	21	121	0.57619	2.24638	5.00000
18	35	229	0.38487	2.10145	5.00000
19	43	601	0.66556	2.01449	5.00000
20	11	55	1.00000	2.58937	6.00000
21	24	169	0.61232	2.24638	6.00000
22	55	810	0.54545	1.93237	6.00000
23	11	25	0.45455	2.41546	5.00000
24	11	45	0.81818	2.36715	6.00000
25	2	1	1.00000	3.47343	7.00000
26	13	56	0.71795	2.56522	6.00000
27	5	4	0.40000	3.03382	7.00000
28	49	683	0.58078	1.97101	6.00000
29	1	0	    NaN	3.63285	8.00000
30	3	3	1.00000	3.12560	7.00000
31	9	36	1.00000	2.58937	6.00000
32	23	147	0.58103	2.28502	6.00000
33	32	219	0.44153	2.16425	6.00000
34	38	282	0.40114	2.03865	6.00000
35	21	97	0.46190	2.29952	6.00000
36	12	34	0.51515	2.50725	6.00000
37	43	663	0.73422	2.02415	6.00000
38	28	306	0.80952	2.19324	5.00000
39	34	347	0.61854	2.15459	5.00000
40	31	330	0.70968	2.17874	5.00000
41	63	983	0.50333	1.85024	5.00000
42	58	909	0.54991	1.88406	5.00000
43	55	877	0.59057	1.90821	5.00000
44	29	311	0.76601	2.24638	5.00000
45	11	27	0.49091	2.48309	5.00000
46	28	306	0.80952	2.19324	5.00000
47	5	6	0.60000	2.95652	5.00000
48	13	27	0.34615	2.38647	4.00000
49	13	78	1.00000	2.45894	6.00000
50	14	78	0.85714	2.43961	6.00000
51	57	779	0.48810	1.92754	6.00000
52	4	2	0.33333	2.84058	6.00000
53	10	26	0.57778	2.59903	5.00000
54	48	645	0.57181	1.98551	6.00000
55	4	6	1.00000	2.99034	6.00000
56	8	14	0.50000	2.69565	6.00000
57	4	6	1.00000	2.99034	6.00000
58	24	141	0.51087	2.22222	6.00000
59	4	6	1.00000	2.85507	6.00000
60	47	690	0.63830	2.00483	6.00000
61	9	23	0.63889	2.63285	5.00000
62	2	1	1.00000	2.83092	7.00000
63	52	451	0.34012	1.95652	6.00000
64	3	3	1.00000	3.28019	7.00000
65	6	6	0.40000	2.98068	6.00000
66	8	10	0.35714	2.81159	6.00000
67	22	108	0.46753	2.31884	6.00000
68	3	3	1.00000	3.14010	6.00000
69	14	79	0.86813	2.42512	6.00000
70	8	28	1.00000	2.58454	6.00000
71	22	142	0.61472	2.28502	6.00000
72	1	0	    NaN	3.36232	7.00000
73	2	1	1.00000	2.92754	6.00000
74	45	666	0.67273	2.00483	6.00000
75	16	105	0.87500	2.32367	6.00000
76	8	7	0.25000	2.64251	6.00000
77	52	738	0.55656	1.94203	6.00000
78	7	16	0.76190	2.62319	6.00000
79	29	321	0.79064	2.24638	5.00000
80	12	48	0.72727	2.34300	6.00000
81	34	240	0.42781	2.06280	6.00000
82	4	3	0.50000	2.90821	7.00000
83	11	20	0.36364	2.53623	6.00000
84	5	5	0.50000	2.85507	6.00000
85	55	811	0.54613	1.94203	6.00000
86	9	14	0.38889	2.57488	6.00000
87	1	0	    NaN	3.63285	8.00000
88	10	36	0.80000	2.63768	7.00000
89	35	562	0.94454	2.09662	6.00000
90	44	666	0.70402	2.00483	6.00000
91	17	71	0.52206	2.42512	6.00000
92	21	87	0.41429	2.25604	6.00000
93	36	269	0.42698	2.13527	6.00000
94	15	105	1.00000	2.44928	6.00000
95	22	143	0.61905	2.23671	6.00000
96	18	121	0.79085	2.41546	6.00000
97	16	105	0.87500	2.44444	6.00000
98	59	798	0.46639	1.92271	6.00000
99	53	700	0.50798	1.94686	5.00000
100	27	188	0.53561	2.20290	6.00000
101	50	436	0.35592	1.99034	6.00000
102	18	108	0.70588	2.41063	6.00000
103	15	105	1.00000	2.44928	6.00000
104	5	10	1.00000	2.70048	7.00000
105	25	162	0.54000	2.22222	6.00000
