i	Degree	Interconnections	CC	APL	SS
0	192	18336	1.00000	1.83633	3.00000
1	203	19189	0.93591	1.82335	3.00000
2	132	6591	0.76232	1.90818	3.00000
3	297	29406	0.66899	1.71756	3.00000
4	256	23720	0.72672	1.76547	3.00000
5	197	18521	0.95934	1.83134	3.00000
6	241	23190	0.80187	1.78044	3.00000
7	330	31109	0.57307	1.68064	3.00000
8	237	23007	0.82268	1.78443	3.00000
9	258	24268	0.73200	1.76248	3.00000
10	331	31035	0.56825	1.68363	3.00000
11	262	23974	0.70118	1.76846	3.00000
12	52	1163	0.87707	2.04192	4.00000
13	75	1814	0.65369	1.99002	4.00000
14	114	6328	0.98246	1.93713	3.00000
15	361	34817	0.53581	1.65170	3.00000
16	7	21	1.00000	2.52794	4.00000
17	187	16242	0.93393	1.85130	3.00000
18	27	138	0.39316	2.16567	4.00000
19	207	19233	0.90207	1.81836	3.00000
20	231	20268	0.76296	1.79242	3.00000
21	341	36601	0.63138	1.68064	3.00000
22	89	3916	1.00000	1.99401	4.00000
23	1	0	    NaN	2.82036	4.00000
24	65	2025	0.97356	2.00599	4.00000
25	65	2018	0.97019	2.00898	4.00000
26	277	21749	0.56896	1.74451	3.00000
27	30	435	1.00000	2.12275	4.00000
28	139	6128	0.63893	1.89820	3.00000
29	210	19558	0.89123	1.81637	3.00000
30	87	2159	0.57712	1.97206	3.00000
31	67	1584	0.71642	2.01397	4.00000
32	56	1434	0.93117	2.03593	4.00000
33	76	1748	0.61333	1.99701	4.00000
34	57	1438	0.90100	2.03194	4.00000
35	217	19768	0.84349	1.80838	3.00000
36	170	8208	0.57139	1.86228	3.00000
37	109	2719	0.46194	1.93713	4.00000
38	301	26347	0.58354	1.71856	3.00000
39	62	1498	0.79217	2.02495	3.00000
40	204	10108	0.48817	1.82036	3.00000
41	131	5118	0.60106	1.91617	3.00000
42	149	6397	0.58017	1.90619	4.00000
43	167	7224	0.52117	1.86527	3.00000
44	128	3757	0.46223	1.91317	4.00000
45	81	2003	0.61821	1.97804	4.00000
46	237	20630	0.73768	1.78443	3.00000
47	126	3652	0.46375	1.91617	4.00000
48	298	25512	0.57650	1.71956	3.00000
49	369	38652	0.56928	1.64870	3.00000
50	360	32632	0.50498	1.65469	3.00000
51	372	34251	0.49635	1.63673	3.00000
52	414	44004	0.51472	1.59681	3.00000
53	75	1834	0.66090	1.99800	3.00000
54	370	34164	0.50046	1.64172	3.00000
55	58	1454	0.87961	2.02994	4.00000
56	406	37178	0.45220	1.60379	3.00000
57	211	11302	0.51013	1.81138	3.00000
58	293	23243	0.54334	1.73054	3.00000
59	88	2238	0.58464	1.97904	4.00000
60	206	10683	0.50594	1.81537	3.00000
61	57	1436	0.89975	2.03493	4.00000
62	244	12614	0.42549	1.77345	3.00000
63	395	42787	0.54986	1.61876	3.00000
64	276	21047	0.55460	1.74950	3.00000
65	247	19293	0.63504	1.77745	3.00000
66	201	10386	0.51672	1.81936	3.00000
67	232	12672	0.47291	1.78842	3.00000
68	360	31766	0.49158	1.65170	3.00000
69	437	43674	0.45844	1.57485	3.00000
70	61	1479	0.80820	2.02695	4.00000
71	176	8159	0.52981	1.85429	3.00000
72	110	2662	0.44404	1.93214	3.00000
73	429	37857	0.41236	1.58084	3.00000
74	401	36796	0.45880	1.60679	3.00000
75	381	38864	0.53687	1.63473	3.00000
76	184	7602	0.45153	1.84830	3.00000
77	323	24384	0.46890	1.69561	3.00000
78	123	5053	0.67346	1.93313	4.00000
79	211	17316	0.78158	1.82335	3.00000
80	49	764	0.64966	2.07285	4.00000
81	215	11799	0.51289	1.80938	3.00000
82	246	20726	0.68777	1.77745	3.00000
83	201	11093	0.55189	1.82335	3.00000
84	241	18399	0.63620	1.78842	3.00000
85	1	0	    NaN	2.93613	4.00000
86	146	5993	0.56618	1.89022	3.00000
87	86	3655	1.00000	1.97605	3.00000
88	117	4571	0.67359	1.93613	3.00000
89	141	6294	0.63769	1.89521	3.00000
90	340	32314	0.56071	1.67465	3.00000
91	258	23756	0.71656	1.76148	3.00000
92	269	24813	0.68837	1.74950	3.00000
93	341	32008	0.55215	1.67465	3.00000
94	55	1061	0.71448	2.04192	4.00000
95	306	28206	0.60444	1.70659	3.00000
96	268	25192	0.70412	1.75150	3.00000
97	283	25597	0.64148	1.73553	3.00000
98	240	20440	0.71269	1.78443	3.00000
99	89	1965	0.50179	1.95908	4.00000
100	229	20011	0.76653	1.79441	3.00000
101	52	701	0.52866	2.02395	4.00000
102	106	4949	0.88931	1.94810	3.00000
103	16	120	1.00000	2.19661	4.00000
104	99	3929	0.80994	1.95709	3.00000
105	29	212	0.52217	2.11477	4.00000
