i	Degree	Interconnections	CC	APL	SS
0	110	5995	1.00000	1.87438	4.00000
1	113	6071	0.95939	1.86942	4.00000
2	71	1911	0.76901	1.96364	4.00000
3	171	9462	0.65098	1.74876	4.00000
4	148	7710	0.70877	1.79669	4.00000
5	113	6060	0.95765	1.86612	4.00000
6	141	7676	0.77771	1.80826	4.00000
7	190	9957	0.55455	1.70744	3.00000
8	139	7616	0.79408	1.81488	4.00000
9	153	8055	0.69272	1.78843	4.00000
10	149	7643	0.69318	1.80496	4.00000
11	43	609	0.67442	2.06612	4.00000
12	207	11009	0.51635	1.68430	4.00000
13	3	3	1.00000	2.83636	5.00000
14	115	6082	0.92784	1.86446	4.00000
15	132	6407	0.74104	1.83306	4.00000
16	196	11648	0.60952	1.71240	4.00000
17	50	1225	1.00000	2.04628	4.00000
18	1	0	    NaN	2.86777	5.00000
19	36	596	0.94603	2.10909	4.00000
20	158	6843	0.55172	1.78347	4.00000
21	14	91	1.00000	2.26446	4.00000
22	120	6321	0.88529	1.85289	4.00000
23	40	522	0.66923	2.07934	4.00000
24	33	466	0.88258	2.09752	4.00000
25	41	532	0.64878	2.07603	4.00000
26	33	467	0.88447	2.11570	4.00000
27	123	6371	0.84913	1.84628	4.00000
28	96	2498	0.54781	1.90909	3.00000
29	74	1609	0.59571	1.96860	4.00000
30	81	1958	0.60432	1.95868	4.00000
31	93	2227	0.52057	1.91405	4.00000
32	47	670	0.61980	2.05455	4.00000
33	137	6673	0.71629	1.82149	3.00000
34	74	1201	0.44465	1.95207	4.00000
35	168	8084	0.57628	1.75702	3.00000
36	210	12221	0.55689	1.68595	3.00000
37	216	10860	0.46770	1.66446	3.00000
38	236	13871	0.50022	1.63140	3.00000
39	41	561	0.68415	2.05455	4.00000
40	237	12003	0.42920	1.62645	3.00000
41	112	3173	0.51046	1.87107	4.00000
42	44	581	0.61416	2.05620	4.00000
43	226	13536	0.53239	1.65289	4.00000
44	141	6163	0.62442	1.81322	4.00000
45	116	3178	0.47646	1.86116	3.00000
46	130	3895	0.46452	1.82645	4.00000
47	249	13683	0.44316	1.60992	3.00000
48	35	477	0.80168	2.11405	4.00000
49	102	2502	0.48573	1.89256	3.00000
50	232	11812	0.44081	1.63306	3.00000
51	102	2397	0.46535	1.89587	4.00000
52	71	1628	0.65513	1.97190	4.00000
53	123	5616	0.74850	1.85620	4.00000
54	121	3450	0.47521	1.85124	3.00000
55	145	6833	0.65450	1.80331	4.00000
56	83	1773	0.52101	1.92231	4.00000
57	46	1035	1.00000	2.02810	4.00000
58	64	1314	0.65179	1.98347	4.00000
59	76	1789	0.62772	1.95207	4.00000
60	199	10454	0.53063	1.70248	4.00000
61	150	7645	0.68412	1.79008	4.00000
62	160	8141	0.64002	1.77355	4.00000
63	196	10311	0.53956	1.70248	3.00000
64	26	224	0.68923	2.16694	4.00000
65	176	9129	0.59279	1.74545	4.00000
66	139	6621	0.69033	1.81983	4.00000
67	46	514	0.49662	2.03636	4.00000
68	128	6421	0.78999	1.83802	4.00000
69	61	1572	0.85902	2.01983	4.00000
70	7	21	1.00000	2.61653	5.00000
71	52	1083	0.81674	2.01157	4.00000
72	15	53	0.50476	2.39174	4.00000
73	11	43	0.78182	2.30083	4.00000
74	7	21	1.00000	2.61653	5.00000
75	136	5801	0.63192	1.82314	4.00000
76	18	82	0.53595	2.20496	4.00000
77	24	132	0.47826	2.18017	4.00000
78	160	7536	0.59245	1.77686	4.00000
79	215	12406	0.53927	1.67603	3.00000
80	14	91	1.00000	2.21983	4.00000
81	20	113	0.59474	2.19339	4.00000
82	115	5382	0.82105	1.87107	4.00000
83	50	769	0.62776	2.02810	4.00000
84	41	309	0.37683	2.04132	4.00000
85	39	360	0.48583	2.06612	4.00000
86	44	545	0.57611	2.06612	4.00000
87	52	568	0.42836	2.02645	4.00000
88	218	11259	0.47601	1.65785	3.00000
89	122	2805	0.38003	1.85620	4.00000
90	104	1912	0.35698	1.89752	4.00000
91	23	147	0.58103	2.18512	4.00000
92	37	512	0.76877	2.09917	4.00000
93	8	28	1.00000	2.55537	4.00000
94	87	2376	0.63512	1.92893	4.00000
95	36	570	0.90476	2.13058	4.00000
96	26	325	1.00000	2.19008	4.00000
97	85	2385	0.66807	1.94215	4.00000
98	115	3159	0.48192	1.86446	3.00000
99	146	4773	0.45092	1.81157	3.00000
100	74	1330	0.49241	1.96694	4.00000
101	40	470	0.60256	2.07934	4.00000
102	70	1159	0.47992	2.00992	4.00000
103	63	945	0.48387	2.03140	4.00000
104	92	1452	0.34687	1.93719	4.00000
105	61	1648	0.90055	2.01653	4.00000
