i	Degree	Interconnections	CC	APL	SS
0	54	1431	1.00000	1.93293	3.00000
1	39	502	0.67746	2.01220	4.00000
2	82	2140	0.64438	1.81098	3.00000
3	69	1721	0.73359	1.86890	3.00000
4	57	1465	0.91792	1.91768	3.00000
5	69	1745	0.74382	1.86280	3.00000
6	67	1713	0.77476	1.87500	3.00000
7	77	1860	0.63568	1.83841	3.00000
8	69	1598	0.68116	1.90854	4.00000
9	20	146	0.76842	2.33841	4.00000
10	100	2403	0.48545	1.74390	3.00000
11	1	0	    NaN	3.22561	5.00000
12	97	2690	0.57775	1.77134	3.00000
13	22	231	1.00000	2.15854	4.00000
14	1	0	    NaN	2.98171	5.00000
15	18	137	0.89542	2.25305	4.00000
16	77	1505	0.51435	1.88720	4.00000
17	5	10	1.00000	2.64329	4.00000
18	61	1510	0.82514	1.90549	3.00000
19	15	56	0.53333	2.30488	4.00000
20	31	301	0.64731	2.11585	4.00000
21	39	390	0.52632	2.04573	3.00000
22	30	209	0.48046	2.19512	4.00000
23	79	1801	0.58455	1.82927	3.00000
24	98	2715	0.57122	1.76524	3.00000
25	98	2333	0.49085	1.75610	3.00000
26	111	3092	0.50647	1.70732	3.00000
27	34	334	0.59537	2.05793	3.00000
28	62	1294	0.68429	1.93598	4.00000
29	66	885	0.41259	1.88110	3.00000
30	69	1576	0.67178	1.86890	3.00000
31	36	284	0.45079	2.13720	4.00000
32	17	136	1.00000	2.28659	4.00000
33	28	213	0.56349	2.15549	4.00000
34	32	287	0.57863	2.08841	4.00000
35	86	2068	0.56580	1.80488	3.00000
36	21	106	0.50476	2.18598	4.00000
37	28	272	0.71958	2.18902	4.00000
38	3	3	1.00000	2.76524	4.00000
39	20	142	0.74737	2.22561	4.00000
40	9	19	0.52778	2.53049	4.00000
41	76	1739	0.61018	1.84451	3.00000
42	5	10	1.00000	2.50915	4.00000
43	19	109	0.63743	2.24085	4.00000
44	25	124	0.41333	2.16159	4.00000
45	111	2611	0.42768	1.70732	3.00000
46	52	501	0.37783	1.98476	3.00000
47	15	68	0.64762	2.35976	4.00000
48	6	15	1.00000	2.68598	4.00000
49	11	55	1.00000	2.50305	4.00000
50	40	552	0.70769	2.03049	4.00000
51	53	704	0.51089	1.93902	3.00000
52	64	887	0.43998	1.92378	3.00000
