i	Degree	Interconnections	CC	APL	SS
0	192	18336	1.00000	1.83468	3.00000
1	202	19100	0.94084	1.82460	3.00000
2	132	6601	0.76347	1.90827	3.00000
3	295	29126	0.67165	1.71673	3.00000
4	256	23673	0.72528	1.76310	3.00000
5	197	18520	0.95929	1.82964	3.00000
6	240	22996	0.80181	1.77923	3.00000
7	329	30880	0.57232	1.67843	3.00000
8	236	22813	0.82268	1.78327	3.00000
9	257	24067	0.73161	1.76109	3.00000
10	258	23300	0.70280	1.77218	3.00000
11	53	1211	0.87881	2.03931	4.00000
12	76	1862	0.65333	1.98589	4.00000
13	114	6328	0.98246	1.93750	3.00000
14	359	34609	0.53857	1.65020	3.00000
15	7	21	1.00000	2.53327	4.00000
16	184	15867	0.94244	1.85383	3.00000
17	26	130	0.40000	2.16734	4.00000
18	206	19145	0.90670	1.81956	3.00000
19	230	20181	0.76632	1.79335	3.00000
20	340	36316	0.63016	1.67944	3.00000
21	88	3828	1.00000	1.99194	4.00000
22	1	0	    NaN	2.82460	4.00000
23	64	1962	0.97321	2.01008	4.00000
24	64	1955	0.96974	2.01310	4.00000
25	275	21442	0.56913	1.74798	3.00000
26	30	435	1.00000	2.12500	4.00000
27	139	6098	0.63580	1.89617	3.00000
28	210	19558	0.89123	1.81653	3.00000
29	87	2180	0.58273	1.97077	3.00000
30	68	1642	0.72081	2.01411	4.00000
31	57	1488	0.93233	2.03528	4.00000
32	77	1803	0.61620	1.99597	4.00000
33	59	1514	0.88486	2.03024	4.00000
34	217	19767	0.84345	1.80746	3.00000
35	168	7909	0.56380	1.86391	3.00000
36	109	2739	0.46534	1.93649	4.00000
37	297	25690	0.58445	1.72177	3.00000
38	63	1552	0.79467	2.02419	3.00000
39	205	10215	0.48852	1.81855	3.00000
40	124	4545	0.59599	1.92540	3.00000
41	147	6247	0.58215	1.90726	4.00000
42	166	7140	0.52136	1.86391	3.00000
43	130	3870	0.46154	1.90927	4.00000
44	82	2064	0.62150	1.97681	4.00000
45	238	20750	0.73574	1.78125	3.00000
46	128	3764	0.46309	1.91129	4.00000
47	292	24958	0.58744	1.72379	3.00000
48	368	38393	0.56855	1.64718	3.00000
49	359	32545	0.50645	1.65423	3.00000
50	369	33942	0.49991	1.63609	3.00000
51	412	43661	0.51569	1.59577	3.00000
52	76	1895	0.66491	1.99698	3.00000
53	369	34006	0.50085	1.63911	3.00000
54	59	1508	0.88136	2.02923	4.00000
55	404	36830	0.45242	1.60181	3.00000
56	212	11453	0.51207	1.80847	3.00000
57	301	24942	0.55243	1.71472	3.00000
58	284	22229	0.55315	1.73891	3.00000
59	88	2259	0.59013	1.97883	4.00000
60	204	10401	0.50232	1.81552	3.00000
61	58	1490	0.90139	2.03427	4.00000
62	244	12525	0.42249	1.77218	3.00000
63	394	42436	0.54812	1.61694	3.00000
64	273	20637	0.55583	1.75202	3.00000
65	245	18961	0.63436	1.77923	3.00000
66	199	10107	0.51302	1.81956	3.00000
67	231	12406	0.46701	1.78730	3.00000
68	358	31519	0.49323	1.65020	3.00000
69	435	43324	0.45896	1.57460	3.00000
70	61	1522	0.83169	2.02722	4.00000
71	175	8117	0.53314	1.85484	3.00000
72	109	2662	0.45226	1.93246	3.00000
73	426	37459	0.41380	1.57964	3.00000
74	400	36553	0.45806	1.60383	3.00000
75	380	38612	0.53620	1.63306	3.00000
76	183	7461	0.44803	1.84879	3.00000
