i	Degree	Interconnections	CC	APL	SS
0	132	8646	1.00000	1.87040	4.00000
1	136	8799	0.95850	1.86494	4.00000
2	84	2728	0.78256	1.93724	4.00000
3	203	13439	0.65547	1.75034	4.00000
4	184	11621	0.69025	1.78718	4.00000
5	135	8727	0.96484	1.86630	4.00000
6	166	10778	0.78700	1.81173	4.00000
7	227	14220	0.55436	1.71078	3.00000
8	164	10704	0.80084	1.81446	4.00000
9	181	11448	0.70276	1.78854	4.00000
10	180	11317	0.70248	1.80491	4.00000
11	52	893	0.67345	2.03956	4.00000
12	74	2628	0.97297	1.96180	4.00000
13	253	16310	0.51164	1.67531	4.00000
14	4	6	1.00000	2.74079	5.00000
15	138	8813	0.93230	1.86085	4.00000
16	159	9361	0.74524	1.82674	4.00000
17	238	17419	0.61763	1.70941	4.00000
18	66	2145	1.00000	2.03001	4.00000
19	1	0	    NaN	2.85675	5.00000
20	49	1129	0.96003	2.06276	4.00000
21	202	11200	0.55170	1.76126	4.00000
22	19	171	1.00000	2.21146	4.00000
23	144	9162	0.88986	1.85402	4.00000
24	71	1438	0.57867	1.97408	3.00000
25	55	1084	0.72997	2.01910	4.00000
26	47	993	0.91859	2.03411	4.00000
27	59	1122	0.65576	2.00273	4.00000
28	48	997	0.88387	2.02865	4.00000
29	148	9245	0.84988	1.84584	4.00000
30	112	3338	0.53700	1.90859	3.00000
31	83	1639	0.48163	1.94816	4.00000
32	51	1025	0.80392	2.02183	3.00000
33	145	4744	0.45441	1.83492	3.00000
34	94	2565	0.58682	1.93452	4.00000
35	110	3474	0.57948	1.92906	4.00000
36	130	4196	0.50042	1.86357	3.00000
37	95	2017	0.45174	1.93997	4.00000
38	67	1390	0.62867	1.98499	4.00000
39	172	10114	0.68775	1.79945	3.00000
40	95	2076	0.46495	1.93179	4.00000
41	208	12066	0.56048	1.74216	3.00000
42	262	18719	0.54748	1.66849	3.00000
43	257	15829	0.48118	1.67804	4.00000
44	260	15920	0.47282	1.66030	3.00000
45	292	21056	0.49560	1.61937	3.00000
46	59	1162	0.67914	1.99727	3.00000
47	49	1007	0.85629	2.02865	4.00000
48	285	17304	0.42758	1.62483	3.00000
49	147	5326	0.49632	1.83356	3.00000
50	208	11381	0.52866	1.74761	3.00000
51	64	1254	0.62202	1.99727	4.00000
52	144	4893	0.47523	1.83902	3.00000
53	186	7063	0.41052	1.77626	3.00000
54	272	20062	0.54433	1.65348	4.00000
55	200	10622	0.53377	1.76944	3.00000
56	181	9883	0.60669	1.79263	3.00000
57	141	4732	0.47943	1.84175	3.00000
58	167	6186	0.44629	1.80218	4.00000
59	311	21282	0.44149	1.59209	3.00000
60	49	1005	0.85459	2.03138	4.00000
61	136	4647	0.50621	1.85812	3.00000
62	76	1393	0.48877	1.96180	4.00000
63	281	17155	0.43607	1.63029	3.00000
64	274	19064	0.50972	1.65075	3.00000
65	130	3663	0.43685	1.86630	4.00000
66	90	2725	0.68040	1.95498	4.00000
67	150	8612	0.77065	1.84584	4.00000
68	150	5461	0.48868	1.83492	3.00000
69	171	9781	0.67293	1.80764	4.00000
70	1	0	    NaN	2.96044	5.00000
71	107	3088	0.54452	1.90177	4.00000
72	63	1953	1.00000	2.00546	4.00000
73	88	2522	0.65883	1.95498	4.00000
74	103	3355	0.63868	1.92360	4.00000
75	248	15869	0.51812	1.68895	4.00000
76	185	11544	0.67826	1.77899	4.00000
77	195	12253	0.64779	1.76535	4.00000
78	239	15058	0.52945	1.69714	3.00000
79	38	473	0.67283	2.10232	4.00000
80	215	13468	0.58544	1.73533	4.00000
81	166	9603	0.70120	1.81583	4.00000
82	59	827	0.48334	2.00409	4.00000
83	154	9331	0.79204	1.83629	4.00000
84	68	1986	0.87182	2.00000	4.00000
