i	Degree	Interconnections	CC	APL	SS
0	88	3828	1.00000	1.90672	4.00000
1	91	3889	0.94969	1.90112	4.00000
2	64	1507	0.74752	1.97575	4.00000
3	144	6544	0.63559	1.77612	4.00000
4	120	5044	0.70644	1.83396	4.00000
5	91	3883	0.94823	1.89739	4.00000
6	117	5153	0.75936	1.83582	4.00000
7	160	6846	0.53821	1.73694	4.00000
8	115	5103	0.77849	1.84328	4.00000
9	128	5430	0.66806	1.80970	4.00000
10	131	5812	0.68256	1.81343	4.00000
11	35	409	0.68739	2.13993	4.00000
12	176	7625	0.49513	1.70522	4.00000
13	3	3	1.00000	2.84701	5.00000
14	93	3899	0.91141	1.89552	4.00000
15	107	4129	0.72809	1.86194	4.00000
16	165	8122	0.60030	1.73321	4.00000
17	41	820	1.00000	2.07463	4.00000
18	1	0	    NaN	2.88806	5.00000
19	35	562	0.94454	2.11754	4.00000
20	139	5252	0.54760	1.79664	4.00000
21	12	66	1.00000	2.29851	4.00000
22	96	3998	0.87675	1.88993	4.00000
23	31	284	0.61075	2.11567	4.00000
24	24	232	0.84058	2.14925	4.00000
25	31	283	0.60860	2.12313	4.00000
26	24	233	0.84420	2.17537	4.00000
27	82	1868	0.56248	1.94590	4.00000
28	60	1110	0.62712	2.00933	4.00000
29	65	1246	0.59904	2.00000	4.00000
30	37	384	0.57658	2.10448	4.00000
31	57	713	0.44674	2.00000	4.00000
32	133	5165	0.58840	1.79664	3.00000
33	173	8362	0.56204	1.71828	3.00000
34	178	7346	0.46632	1.69776	3.00000
35	196	9635	0.50419	1.66418	3.00000
36	198	8336	0.42742	1.65485	3.00000
37	91	2192	0.53529	1.90299	4.00000
38	32	293	0.59073	2.11194	4.00000
39	110	2801	0.46722	1.84888	4.00000
40	209	9536	0.43872	1.63993	3.00000
41	197	8322	0.43106	1.65672	3.00000
42	61	1150	0.62842	1.99067	4.00000
43	109	4296	0.72987	1.86194	4.00000
44	110	2783	0.46422	1.85634	4.00000
45	118	4379	0.63436	1.82649	4.00000
46	69	1204	0.51321	1.96269	4.00000
47	39	741	1.00000	2.05410	4.00000
48	55	952	0.64108	2.00746	4.00000
49	68	1429	0.62730	1.95896	4.00000
50	165	7049	0.52099	1.73694	4.00000
51	132	5351	0.61890	1.80224	4.00000
52	22	157	0.67965	2.19963	4.00000
53	150	6368	0.56984	1.76679	4.00000
54	112	4224	0.67954	1.84888	4.00000
55	37	319	0.47898	2.07836	4.00000
56	104	4085	0.76270	1.87313	4.00000
57	55	1251	0.84242	2.04478	4.00000
58	6	15	1.00000	2.63060	5.00000
59	44	775	0.81924	2.03731	4.00000
60	14	47	0.51648	2.41604	4.00000
61	7	12	0.57143	2.49813	5.00000
62	6	15	1.00000	2.63060	5.00000
63	117	4362	0.64279	1.83582	4.00000
64	14	48	0.52747	2.26306	4.00000
65	17	57	0.41912	2.33769	4.00000
66	134	5066	0.56851	1.80037	4.00000
67	13	78	1.00000	2.24440	4.00000
68	101	4110	0.81386	1.88060	4.00000
69	43	552	0.61130	2.04851	4.00000
70	37	250	0.37538	2.05970	4.00000
71	32	234	0.47177	2.08396	4.00000
72	37	369	0.55405	2.09328	4.00000
73	46	449	0.43382	2.03731	4.00000
74	189	8091	0.45542	1.67724	3.00000
75	105	2076	0.38022	1.88433	4.00000
76	92	1497	0.35762	1.90672	4.00000
77	19	98	0.57310	2.22761	4.00000
78	28	275	0.72751	2.16045	4.00000
79	8	28	1.00000	2.57463	4.00000
80	29	378	0.93103	2.16978	4.00000
81	23	253	1.00000	2.23321	4.00000
82	75	1872	0.67459	1.95896	4.00000
83	99	2382	0.49103	1.88433	4.00000
84	127	3649	0.45607	1.83396	4.00000
85	68	1164	0.51097	1.98321	4.00000
86	36	377	0.59841	2.09515	4.00000
87	63	948	0.48541	2.03545	4.00000
88	54	1289	0.90077	2.04104	4.00000
89	42	404	0.46922	2.08022	4.00000
90	52	943	0.71116	2.02985	4.00000
91	134	5488	0.61587	1.80410	4.00000
92	25	191	0.63667	2.19590	4.00000
93	18	123	0.80392	2.33209	4.00000
94	31	234	0.50323	2.15858	4.00000
95	93	3937	0.92029	1.89552	4.00000
96	108	4362	0.75493	1.88060	4.00000
97	103	4154	0.79079	1.88060	4.00000
98	132	5794	0.67014	1.80224	4.00000
99	182	9332	0.56657	1.69403	4.00000
100	165	8178	0.60443	1.73321	4.00000
101	158	8039	0.64815	1.75000	4.00000
102	162	8142	0.62434	1.74067	4.00000
103	158	8018	0.64646	1.75000	4.00000
104	95	3969	0.88891	1.90112	4.00000
105	95	4059	0.90907	1.90485	4.00000
106	190	9480	0.52799	1.67724	4.00000
107	163	6775	0.51314	1.73134	4.00000
108	228	9920	0.38334	1.60075	3.00000
109	165	8192	0.60547	1.73321	4.00000
110	98	4052	0.85251	1.89179	4.00000
111	89	3916	1.00000	1.91604	4.00000
112	139	5557	0.57940	1.78731	4.00000
113	134	5625	0.63124	1.80037	4.00000
114	168	6129	0.43691	1.72948	4.00000
115	94	3996	0.91421	1.90485	4.00000
116	120	4656	0.65210	1.83022	4.00000
117	105	4252	0.77875	1.86940	4.00000
118	29	271	0.66749	2.14925	4.00000
119	93	3937	0.92029	1.89552	4.00000
120	9	23	0.63889	2.44776	4.00000
121	9	22	0.61111	2.62873	5.00000
122	112	4384	0.70528	1.86007	4.00000
123	42	436	0.50639	2.08209	4.00000
124	127	4893	0.61155	1.81903	4.00000
125	39	741	1.00000	2.08769	4.00000
126	41	744	0.90732	2.07463	4.00000
127	63	997	0.51050	1.97761	4.00000
128	139	5111	0.53290	1.79104	3.00000
129	162	6520	0.49996	1.73321	3.00000
130	239	11058	0.38880	1.56903	3.00000
131	9	36	1.00000	2.50373	4.00000
132	17	69	0.50735	2.30410	4.00000
133	40	400	0.51282	2.07090	4.00000
134	43	640	0.70875	2.05597	4.00000
135	124	4687	0.61461	1.82836	4.00000
136	6	15	1.00000	2.62127	4.00000
137	10	26	0.57778	2.56530	4.00000
138	6	15	1.00000	2.62127	4.00000
139	61	922	0.50383	1.98134	4.00000
140	16	120	1.00000	2.26679	4.00000
141	128	5219	0.64210	1.81903	4.00000
142	37	390	0.58559	2.09328	4.00000
143	56	1040	0.67532	2.02052	4.00000
144	103	2842	0.54102	1.88246	4.00000
145	8	28	1.00000	2.42351	4.00000
146	165	5101	0.37701	1.73507	3.00000
147	45	625	0.63131	2.05784	4.00000
148	111	4249	0.69599	1.85821	4.00000
149	17	69	0.50735	2.21082	4.00000
150	6	15	1.00000	2.72948	4.00000
151	23	153	0.60474	2.20522	4.00000
152	15	54	0.51429	2.25000	4.00000
153	25	142	0.47333	2.13433	4.00000
154	79	1854	0.60175	1.93470	4.00000
155	27	194	0.55271	2.17351	4.00000
156	24	178	0.64493	2.19963	4.00000
157	144	6078	0.59033	1.77612	4.00000
158	18	137	0.89542	2.23694	4.00000
159	42	378	0.43902	2.06716	4.00000
160	110	4236	0.70659	1.85075	4.00000
161	68	1176	0.51624	1.97015	4.00000
162	144	6013	0.58401	1.77239	4.00000
163	182	7040	0.42742	1.69590	3.00000
164	18	137	0.89542	2.27612	4.00000
165	158	5879	0.47400	1.73507	3.00000
166	122	3376	0.45739	1.82463	4.00000
167	44	778	0.82241	2.04664	4.00000
168	11	45	0.81818	2.61940	4.00000
169	24	276	1.00000	2.21828	4.00000
170	72	1804	0.70579	1.95896	4.00000
171	96	4034	0.88465	1.89179	4.00000
172	60	1009	0.57006	2.00933	3.00000
173	6	15	1.00000	2.63619	5.00000
174	95	3976	0.89048	1.89925	4.00000
175	21	98	0.46667	2.22201	4.00000
176	17	58	0.42647	2.40485	4.00000
177	3	3	1.00000	2.72015	5.00000
178	73	1605	0.61073	1.96642	4.00000
179	5	10	1.00000	2.63806	4.00000
180	125	5343	0.68942	1.81903	4.00000
181	95	2249	0.50370	1.88619	4.00000
182	38	576	0.81935	2.10075	4.00000
183	101	3935	0.77921	1.86940	3.00000
184	34	217	0.38681	2.12873	4.00000
185	6	10	0.66667	2.71455	4.00000
186	31	400	0.86022	2.13433	4.00000
187	144	5824	0.56566	1.77052	3.00000
188	65	1070	0.51442	1.99813	4.00000
189	24	154	0.55797	2.25746	4.00000
190	10	30	0.66667	2.46082	4.00000
191	100	4067	0.82162	1.87500	3.00000
192	39	335	0.45209	2.07463	4.00000
193	109	4059	0.68960	1.85448	3.00000
194	14	47	0.51648	2.35821	4.00000
195	28	205	0.54233	2.21082	4.00000
196	2	0	0.00000	2.94776	5.00000
197	6	11	0.73333	2.61567	4.00000
198	53	1236	0.89695	2.04851	4.00000
199	119	3763	0.53596	1.83022	4.00000
200	10	20	0.44444	2.45149	4.00000
201	23	133	0.52569	2.25373	4.00000
202	19	96	0.56140	2.24813	4.00000
203	154	6663	0.56557	1.75933	4.00000
204	22	134	0.58009	2.28545	4.00000
