i	Degree	Interconnections	CC	APL	SS
0	151	11325	1.00000	1.85262	3.00000
1	158	11730	0.94574	1.84166	3.00000
2	93	3207	0.74965	1.93544	4.00000
3	231	17604	0.66268	1.73691	3.00000
4	208	15104	0.70160	1.77588	3.00000
5	154	11414	0.96885	1.84896	3.00000
6	191	14408	0.79405	1.79781	3.00000
7	257	18535	0.56344	1.70158	3.00000
8	189	14328	0.80648	1.80024	3.00000
9	206	15188	0.71930	1.77832	3.00000
10	209	15200	0.69930	1.78806	4.00000
11	38	611	0.86913	2.13764	4.00000
12	57	1050	0.65789	2.03289	4.00000
13	80	3081	0.97500	1.96224	4.00000
14	288	21586	0.52231	1.66504	3.00000
15	5	10	1.00000	2.73447	5.00000
16	160	11747	0.92351	1.83800	3.00000
17	181	12353	0.75832	1.81121	3.00000
18	272	23006	0.62421	1.69793	3.00000
19	74	2701	1.00000	2.00853	4.00000
20	1	0	    NaN	2.84531	4.00000
21	53	1328	0.96372	2.04507	4.00000
22	226	14236	0.55992	1.76127	4.00000
23	22	231	1.00000	2.17174	4.00000
24	167	12170	0.87800	1.83069	3.00000
25	74	1551	0.57423	1.98295	3.00000
26	56	1131	0.73442	2.02680	4.00000
27	48	1038	0.92021	2.04263	4.00000
28	61	1194	0.65246	2.01096	4.00000
29	49	1042	0.88605	2.03776	4.00000
30	172	12273	0.83456	1.82217	3.00000
31	131	4734	0.55596	1.88429	3.00000
32	87	1785	0.47715	1.95615	4.00000
33	242	16705	0.57285	1.73447	3.00000
34	53	1087	0.78882	2.03045	3.00000
35	155	5498	0.46066	1.84531	3.00000
36	111	3655	0.59869	1.92448	4.00000
37	124	4377	0.57396	1.90743	4.00000
38	141	5013	0.50790	1.86845	3.00000
39	101	2244	0.44436	1.93544	4.00000
40	71	1524	0.61328	1.98660	4.00000
41	192	12989	0.70839	1.79415	3.00000
42	101	2309	0.45723	1.93544	4.00000
43	242	16314	0.55945	1.72838	3.00000
44	296	24414	0.55918	1.66382	3.00000
45	292	20901	0.49195	1.66504	3.00000
