i	Degree	Interconnections	CC	APL	SS
0	12	66	1.00000	2.29310	5.00000
1	7	15	0.71429	2.48276	5.00000
2	14	70	0.76923	2.20690	5.00000
3	12	66	1.00000	2.29310	5.00000
4	14	70	0.76923	2.24138	5.00000
5	8	15	0.53571	2.58621	5.00000
6	3	3	1.00000	2.91379	6.00000
7	7	15	0.71429	2.87931	6.00000
8	12	22	0.33333	2.22414	4.00000
9	2	1	1.00000	3.63793	7.00000
10	5	4	0.40000	2.68966	6.00000
11	17	76	0.55882	2.08621	5.00000
12	4	3	0.50000	2.89655	6.00000
13	1	0	    NaN	4.15517	7.00000
14	2	1	1.00000	3.34483	6.00000
15	8	16	0.57143	2.43103	5.00000
16	6	10	0.66667	2.65517	5.00000
17	21	93	0.44286	1.93103	4.00000
18	6	10	0.66667	2.75862	5.00000
19	4	3	0.50000	2.94828	5.00000
20	3	3	1.00000	2.86207	5.00000
21	1	0	    NaN	3.74138	6.00000
22	2	1	1.00000	3.12069	6.00000
23	16	71	0.59167	2.17241	5.00000
24	2	1	1.00000	4.51724	7.00000
25	3	1	0.33333	3.55172	6.00000
26	2	1	1.00000	4.51724	7.00000
27	1	0	    NaN	3.87931	7.00000
28	17	81	0.59559	1.96552	4.00000
29	16	80	0.66667	2.03448	4.00000
30	2	1	1.00000	4.24138	7.00000
31	4	2	0.33333	3.29310	6.00000
32	1	0	    NaN	3.31034	6.00000
33	6	15	1.00000	2.91379	6.00000
34	18	82	0.53595	2.17241	5.00000
35	6	15	1.00000	2.91379	6.00000
36	6	15	1.00000	2.91379	6.00000
37	9	19	0.52778	2.62069	6.00000
38	6	15	1.00000	2.91379	6.00000
39	13	67	0.85897	2.27586	5.00000
40	7	15	0.71429	2.48276	5.00000
41	3	1	0.33333	2.89655	5.00000
42	1	0	    NaN	4.60345	8.00000
43	2	1	1.00000	3.18966	6.00000
44	3	1	0.33333	3.17241	6.00000
45	14	67	0.73626	2.24138	5.00000
46	1	0	    NaN	3.25862	6.00000
47	13	66	0.84615	2.27586	5.00000
48	1	0	    NaN	4.05172	6.00000
49	5	10	1.00000	2.77586	5.00000
50	5	4	0.40000	2.63793	5.00000
51	1	0	    NaN	5.20690	8.00000
52	2	0	0.00000	3.17241	5.00000
53	4	3	0.50000	3.06897	5.00000
54	3	3	1.00000	2.86207	5.00000
55	6	11	0.73333	2.75862	5.00000
56	3	1	0.33333	3.62069	7.00000
57	10	11	0.24444	2.32759	5.00000
58	3	1	0.33333	4.22414	7.00000
