i	Degree	Interconnections	CC	APL	SS
0	117	6786	1.00000	1.86792	4.00000
1	120	6857	0.96036	1.86321	4.00000
2	77	2133	0.72898	1.94969	4.00000
3	183	10970	0.65874	1.73742	4.00000
4	156	8679	0.71787	1.79403	4.00000
5	120	6858	0.96050	1.86321	4.00000
6	154	9148	0.77650	1.79560	4.00000
7	201	11429	0.56861	1.70283	3.00000
8	152	9078	0.79104	1.79874	4.00000
9	167	9609	0.69324	1.77358	4.00000
10	159	8836	0.70345	1.79874	4.00000
11	28	329	0.87037	2.18396	4.00000
12	43	600	0.66445	2.06132	4.00000
13	222	12667	0.51637	1.67138	4.00000
14	3	3	1.00000	2.85535	5.00000
15	122	6869	0.93063	1.85849	4.00000
16	141	7247	0.73425	1.82547	4.00000
17	204	12854	0.62079	1.71541	4.00000
18	52	1326	1.00000	2.05189	4.00000
19	1	0	    NaN	2.86792	5.00000
20	213	12510	0.55408	1.68868	4.00000
21	34	529	0.94296	2.12736	4.00000
22	162	7296	0.55947	1.79088	4.00000
23	14	91	1.00000	2.26258	4.00000
24	127	7131	0.89126	1.85063	4.00000
25	39	529	0.71390	2.08962	4.00000
26	34	497	0.88592	2.10535	4.00000
27	43	574	0.63566	2.08176	4.00000
28	34	500	0.89127	2.12893	4.00000
29	130	7188	0.85725	1.84434	4.00000
30	106	3260	0.58580	1.90566	3.00000
31	183	9683	0.58146	1.74686	3.00000
32	83	2058	0.60476	1.94969	4.00000
33	85	2131	0.59692	1.95283	4.00000
34	98	2435	0.51231	1.91195	4.00000
35	49	715	0.60799	2.05660	4.00000
36	145	7569	0.72500	1.81761	3.00000
37	75	1234	0.44468	1.97170	4.00000
38	180	9542	0.59230	1.74528	3.00000
39	183	9481	0.56933	1.74214	3.00000
40	218	13458	0.56898	1.69025	3.00000
41	230	12611	0.47887	1.65566	3.00000
42	245	15268	0.51081	1.63522	3.00000
43	42	580	0.67364	2.07547	4.00000
44	251	13805	0.44000	1.62264	3.00000
45	117	3486	0.51370	1.86635	4.00000
46	46	625	0.60386	2.05503	4.00000
47	235	14912	0.54235	1.65566	4.00000
48	147	6697	0.62408	1.81761	4.00000
49	131	4312	0.50640	1.83962	3.00000
50	135	4254	0.47032	1.83019	4.00000
51	36	508	0.80635	2.12579	4.00000
52	104	2560	0.47797	1.89937	3.00000
53	245	13562	0.45373	1.63208	3.00000
54	108	2657	0.45985	1.88994	4.00000
55	75	1785	0.64324	1.96855	4.00000
56	128	6078	0.74779	1.85063	4.00000
57	34	359	0.63993	2.12264	4.00000
58	128	3750	0.46137	1.84591	3.00000
59	153	7670	0.65961	1.80189	4.00000
60	129	4559	0.55220	1.83648	3.00000
61	85	1853	0.51905	1.92296	4.00000
62	46	1035	1.00000	2.04403	4.00000
63	65	1362	0.65481	1.98585	4.00000
64	73	1700	0.64688	1.97327	4.00000
65	212	12086	0.54037	1.69497	4.00000
66	157	8516	0.69541	1.78616	4.00000
67	168	9046	0.64485	1.76887	4.00000
68	210	11975	0.54568	1.69340	3.00000
69	27	242	0.68946	2.16038	4.00000
70	187	10617	0.61049	1.73899	4.00000
71	146	7345	0.69391	1.81604	4.00000
72	44	450	0.47569	2.05660	4.00000
73	138	7265	0.76854	1.83019	4.00000
74	75	2375	0.85586	1.96698	4.00000
75	6	15	1.00000	2.66824	5.00000
76	52	1079	0.81373	2.02830	4.00000
77	15	55	0.52381	2.38679	4.00000
78	11	41	0.74545	2.33648	4.00000
79	6	15	1.00000	2.66824	5.00000
80	141	6218	0.62999	1.82704	4.00000
81	20	108	0.56842	2.15723	4.00000
82	24	124	0.44928	2.18239	4.00000
83	167	8426	0.60789	1.78145	4.00000
84	227	13932	0.54314	1.67453	3.00000
85	14	91	1.00000	2.25472	4.00000
86	21	120	0.57143	2.21541	4.00000
87	118	5792	0.83906	1.87736	4.00000
88	48	725	0.64273	2.05189	4.00000
89	45	384	0.38788	2.04245	4.00000
90	37	294	0.44144	2.11321	4.00000
91	48	683	0.60550	2.05189	4.00000
92	56	642	0.41688	2.02044	4.00000
93	231	12981	0.48865	1.65409	3.00000
94	129	3250	0.39365	1.85692	4.00000
95	23	157	0.62055	2.17296	4.00000
96	39	553	0.74629	2.09906	4.00000
97	9	36	1.00000	2.49371	4.00000
98	89	2528	0.64556	1.92925	4.00000
99	41	751	0.91585	2.09277	4.00000
100	29	406	1.00000	2.14937	4.00000
101	91	2689	0.65665	1.92453	4.00000
102	124	3673	0.48164	1.85377	3.00000
103	162	6089	0.46691	1.79403	3.00000
104	75	1348	0.48577	1.96384	4.00000
105	43	565	0.62569	2.07862	4.00000
106	76	1408	0.49404	1.99371	4.00000
107	68	1148	0.50395	2.00943	4.00000
108	98	1653	0.34778	1.93239	4.00000
109	73	2409	0.91667	1.96855	4.00000
110	51	625	0.49020	2.06132	4.00000
111	59	1151	0.67271	2.00472	4.00000
112	137	7261	0.77941	1.82547	4.00000
113	169	9035	0.63645	1.76415	4.00000
114	29	287	0.70690	2.17296	4.00000
115	23	213	0.84190	2.27830	4.00000
116	38	362	0.51494	2.13522	4.00000
117	109	5583	0.94852	1.89623	4.00000
118	129	6219	0.75327	1.85692	4.00000
119	124	5960	0.78154	1.86321	4.00000
120	224	14561	0.58300	1.67296	4.00000
121	207	13008	0.61010	1.70912	4.00000
122	196	12739	0.66661	1.72956	4.00000
123	120	5767	0.80770	1.86321	4.00000
124	200	12910	0.64874	1.72170	4.00000
125	196	12725	0.66588	1.72956	4.00000
126	112	5628	0.90541	1.89308	4.00000
127	114	5862	0.91011	1.89308	4.00000
128	233	14749	0.54569	1.65881	4.00000
129	149	6938	0.62924	1.82233	4.00000
130	272	14719	0.39937	1.59434	3.00000
131	203	12980	0.63308	1.71541	4.00000
132	118	5776	0.83674	1.87893	4.00000
133	106	5565	1.00000	1.90566	4.00000
134	163	7937	0.60115	1.79245	4.00000
135	158	8042	0.64839	1.80189	4.00000
136	194	8555	0.45697	1.72956	4.00000
137	111	5662	0.92744	1.89623	4.00000
138	126	6148	0.78070	1.86164	4.00000
139	32	365	0.73589	2.13208	4.00000
140	109	5583	0.94852	1.89623	4.00000
141	8	16	0.57143	2.63208	5.00000
142	132	6239	0.72161	1.85063	4.00000
143	49	623	0.52976	2.04717	4.00000
144	146	6707	0.63363	1.82547	4.00000
145	42	861	1.00000	2.09434	4.00000
146	44	864	0.91332	2.08019	4.00000
147	69	1215	0.51790	1.97642	4.00000
148	109	3240	0.55046	1.87893	3.00000
149	266	16462	0.46707	1.60220	3.00000
150	197	10247	0.53077	1.72170	3.00000
151	293	17108	0.39993	1.54874	3.00000
152	16	61	0.50833	2.28774	4.00000
153	44	494	0.52220	2.05660	4.00000
154	43	618	0.68439	2.05975	4.00000
155	159	8099	0.64477	1.78931	4.00000
156	6	15	1.00000	2.60377	4.00000
157	10	26	0.57778	2.55189	4.00000
158	6	15	1.00000	2.60377	4.00000
159	71	1227	0.49376	1.97170	4.00000
160	23	253	1.00000	2.18553	4.00000
161	165	8957	0.66201	1.77987	4.00000
162	48	658	0.58333	2.04717	4.00000
163	74	1792	0.66346	1.98428	4.00000
164	177	9321	0.59842	1.75157	4.00000
165	128	4438	0.54601	1.85220	4.00000
166	91	2282	0.55726	1.95283	4.00000
167	11	55	1.00000	2.37107	4.00000
168	18	82	0.53595	2.30031	4.00000
169	204	8021	0.38738	1.71069	3.00000
170	49	639	0.54337	2.05031	4.00000
171	135	6114	0.67595	1.83491	4.00000
172	23	133	0.52569	2.19340	4.00000
173	96	2482	0.54430	1.90094	4.00000
174	7	21	1.00000	2.69654	4.00000
175	28	237	0.62698	2.15881	4.00000
176	19	93	0.54386	2.20912	4.00000
177	30	197	0.45287	2.19497	4.00000
178	97	2774	0.59579	1.90881	4.00000
179	33	296	0.56061	2.12736	4.00000
180	31	287	0.61720	2.15409	4.00000
181	91	2153	0.52576	1.93239	4.00000
182	174	9237	0.61371	1.76258	3.00000
183	22	211	0.91342	2.17138	4.00000
184	51	636	0.49882	2.03302	4.00000
185	129	6002	0.72699	1.84434	4.00000
186	79	1504	0.48815	1.94654	4.00000
187	173	8744	0.58771	1.75943	3.00000
188	212	9846	0.44022	1.69654	3.00000
189	22	211	0.91342	2.19969	4.00000
190	63	869	0.44496	2.01258	4.00000
191	234	14170	0.51979	1.66038	3.00000
192	196	9860	0.51596	1.71384	3.00000
193	147	5119	0.47703	1.80975	3.00000
194	48	915	0.81117	2.03302	4.00000
195	13	66	0.84615	2.49528	4.00000
196	31	465	1.00000	2.17767	4.00000
197	88	2656	0.69383	1.93396	4.00000
198	113	5712	0.90265	1.88836	4.00000
199	68	1248	0.54785	1.98428	3.00000
200	10	45	1.00000	2.44969	4.00000
201	60	776	0.43842	2.02987	4.00000
202	158	8278	0.66742	1.79560	4.00000
203	115	5775	0.88101	1.88679	4.00000
204	26	158	0.48615	2.18396	4.00000
205	22	101	0.43723	2.23428	4.00000
206	237	15109	0.54026	1.65566	4.00000
207	4	6	1.00000	2.66824	4.00000
208	96	2871	0.62961	1.92296	3.00000
209	87	2079	0.55573	1.94497	4.00000
210	7	21	1.00000	2.58648	4.00000
211	157	8789	0.71770	1.78616	4.00000
212	110	3184	0.53111	1.87421	4.00000
