i	Degree	Interconnections	CC	APL	SS
0	169	14196	1.00000	1.83922	3.00000
1	177	14710	0.94440	1.83010	3.00000
2	103	3989	0.75938	1.92474	3.00000
3	256	21843	0.66921	1.72520	3.00000
4	230	18766	0.71259	1.76169	3.00000
5	172	14299	0.97232	1.83580	3.00000
6	212	17990	0.80435	1.78335	3.00000
7	286	23095	0.56668	1.68643	3.00000
8	210	17897	0.81554	1.78563	3.00000
9	228	18896	0.73020	1.76169	3.00000
10	234	19200	0.70430	1.76511	3.00000
11	65	1345	0.64663	2.00000	4.00000
12	89	3828	0.97753	1.95325	3.00000
13	317	26674	0.53256	1.65108	3.00000
14	4	6	1.00000	2.73660	4.00000
15	180	14746	0.91533	1.82554	3.00000
16	201	15461	0.76920	1.79932	3.00000
17	302	28714	0.63176	1.67959	3.00000
18	82	3321	1.00000	1.98632	3.00000
19	1	0	    NaN	2.82212	4.00000
20	56	1487	0.96558	2.02395	4.00000
21	249	17674	0.57242	1.74458	3.00000
22	24	276	1.00000	2.15051	4.00000
23	127	5075	0.63430	1.89396	3.00000
24	186	15275	0.88782	1.81984	3.00000
25	79	1780	0.57773	1.97605	3.00000
26	61	1305	0.71311	2.01596	4.00000
27	51	1179	0.92471	2.03763	4.00000
28	67	1390	0.62867	2.00114	4.00000
29	53	1202	0.87228	2.03193	4.00000
30	191	15387	0.84800	1.81186	3.00000
31	147	6014	0.56043	1.87001	3.00000
32	94	2060	0.47129	1.94641	4.00000
33	57	1240	0.77694	2.02509	3.00000
34	171	6739	0.46364	1.83466	3.00000
35	109	3499	0.59446	1.93387	3.00000
36	138	5469	0.57855	1.89624	3.00000
37	152	5971	0.52030	1.86203	3.00000
38	111	2744	0.44947	1.92588	4.00000
39	73	1641	0.62443	1.98518	4.00000
40	212	16142	0.72172	1.78335	3.00000
41	111	2809	0.46011	1.92018	4.00000
42	258	19374	0.58438	1.72748	3.00000
43	328	30409	0.56704	1.64652	3.00000
44	323	26106	0.50201	1.65108	3.00000
45	323	25608	0.49243	1.64310	3.00000
46	363	33739	0.51351	1.59977	3.00000
47	67	1464	0.66214	2.00000	3.00000
48	336	27561	0.48971	1.63170	3.00000
49	53	1197	0.86865	2.03307	4.00000
50	355	27826	0.44284	1.60547	3.00000
51	176	7661	0.49747	1.82782	3.00000
52	278	20998	0.54536	1.70468	3.00000
53	256	18053	0.55309	1.73660	3.00000
54	79	1800	0.58423	1.98062	4.00000
55	183	8199	0.49234	1.81528	3.00000
56	215	9826	0.42712	1.77879	3.00000
57	345	32710	0.55123	1.62258	3.00000
58	246	16827	0.55839	1.75371	3.00000
59	221	15496	0.63743	1.78221	3.00000
60	178	7932	0.50352	1.81984	3.00000
61	205	9608	0.45949	1.78905	3.00000
62	385	34156	0.46207	1.57583	3.00000
63	55	1208	0.81347	2.02851	4.00000
64	162	7009	0.53746	1.84949	3.00000
65	91	1909	0.46618	1.95211	4.00000
66	349	27493	0.45274	1.61231	3.00000
67	337	30475	0.53828	1.63398	3.00000
68	157	5459	0.44578	1.85975	4.00000
69	110	4137	0.69008	1.93044	3.00000
70	187	13872	0.79765	1.83124	3.00000
71	176	7756	0.50364	1.83010	3.00000
72	214	15990	0.70159	1.77993	3.00000
73	171	7955	0.54730	1.83238	3.00000
74	210	14570	0.66393	1.79818	3.00000
75	1	0	    NaN	2.95211	4.00000
76	138	5484	0.58013	1.88027	3.00000
77	83	3403	1.00000	1.97149	3.00000
78	112	4200	0.67568	1.92702	3.00000
79	129	5421	0.65661	1.90080	3.00000
80	308	26013	0.55021	1.66591	3.00000
81	233	19136	0.70801	1.75713	3.00000
82	243	20020	0.68088	1.74458	3.00000
83	303	25111	0.54884	1.67275	3.00000
84	300	24529	0.54691	1.67389	3.00000
85	46	744	0.71884	2.06956	4.00000
