i	Degree	Interconnections	CC	APL	SS
0	68	2278	1.00000	1.92176	4.00000
1	70	2298	0.95155	1.91687	4.00000
2	43	635	0.70321	2.01711	4.00000
3	105	3493	0.63974	1.80929	4.00000
4	88	2788	0.72832	1.86308	4.00000
5	71	2320	0.93360	1.90954	4.00000
6	89	2933	0.74898	1.85330	4.00000
7	87	2893	0.77332	1.86308	4.00000
8	100	3155	0.63737	1.81907	4.00000
9	93	2941	0.68747	1.86553	4.00000
10	26	236	0.72615	2.30318	5.00000
11	126	3959	0.50273	1.74328	4.00000
12	1	0	    NaN	3.18337	5.00000
13	71	2299	0.92515	1.91198	4.00000
14	125	4524	0.58374	1.75061	4.00000
15	27	351	1.00000	2.14425	4.00000
16	1	0	    NaN	2.93888	5.00000
17	22	211	0.91342	2.21760	4.00000
18	100	2642	0.53374	1.85330	4.00000
19	6	15	1.00000	2.62592	5.00000
20	76	2401	0.84246	1.89976	4.00000
21	18	89	0.58170	2.27873	4.00000
22	15	79	0.75238	2.33741	4.00000
23	14	78	0.85714	2.39364	4.00000
24	40	499	0.63974	2.06357	4.00000
25	47	608	0.56244	2.06112	4.00000
26	39	341	0.46019	2.15892	4.00000
27	100	2937	0.59333	1.82152	4.00000
28	128	4595	0.56533	1.75061	4.00000
29	128	3871	0.47625	1.74328	4.00000
30	141	5076	0.51429	1.70660	4.00000
31	60	908	0.51299	1.95599	4.00000
32	40	496	0.63590	2.06601	4.00000
33	79	2251	0.73061	1.91687	4.00000
34	76	1193	0.41860	1.89487	4.00000
35	86	2507	0.68591	1.86308	4.00000
36	48	527	0.46720	2.07824	4.00000
37	23	253	1.00000	2.22494	4.00000
38	36	374	0.59365	2.12225	4.00000
39	41	497	0.60610	2.07579	4.00000
40	100	2973	0.60061	1.82885	4.00000
41	16	85	0.70833	2.29340	4.00000
42	111	3467	0.56790	1.78973	4.00000
43	82	2396	0.72147	1.87042	4.00000
44	27	171	0.48718	2.16626	4.00000
45	39	585	0.78947	2.09291	4.00000
46	3	3	1.00000	2.75306	5.00000
47	26	263	0.80923	2.21027	4.00000
48	9	19	0.52778	2.53545	5.00000
49	3	2	0.66667	2.75061	5.00000
50	99	2864	0.59039	1.83130	4.00000
51	5	10	1.00000	2.50611	5.00000
52	26	232	0.71385	2.19804	4.00000
53	28	166	0.43915	2.16626	4.00000
54	138	4250	0.44959	1.70905	4.00000
55	68	861	0.37796	1.96333	4.00000
56	18	102	0.66667	2.32274	4.00000
57	6	15	1.00000	2.69682	5.00000
58	22	231	1.00000	2.25183	5.00000
59	16	120	1.00000	2.34474	4.00000
60	49	780	0.66327	2.01467	4.00000
61	68	1096	0.48112	1.92910	4.00000
62	86	1662	0.45472	1.88998	4.00000
63	48	529	0.46897	2.11247	4.00000
64	31	194	0.41720	2.17115	4.00000
65	37	436	0.65465	2.15159	4.00000
66	100	2987	0.60343	1.82396	4.00000
67	18	105	0.68627	2.29829	4.00000
68	15	79	0.75238	2.50122	4.00000
69	20	105	0.55263	2.40831	4.00000
70	68	2091	0.91791	1.94132	4.00000
71	78	2280	0.75924	1.93643	4.00000
72	77	2227	0.76111	1.92665	4.00000
73	133	4984	0.56778	1.72616	4.00000
74	124	4557	0.59756	1.75795	4.00000
75	124	4593	0.60228	1.75795	4.00000
76	120	4507	0.63123	1.77017	4.00000
77	70	2116	0.87619	1.95110	4.00000
78	71	2196	0.88370	1.95110	4.00000
79	139	5031	0.52455	1.70416	4.00000
80	158	4740	0.38217	1.65770	3.00000
81	125	4598	0.59329	1.75550	4.00000
82	69	2124	0.90537	1.95599	4.00000
83	65	2080	1.00000	1.96822	4.00000
84	98	2739	0.57627	1.85819	4.00000
85	122	3122	0.42298	1.76039	4.00000
86	69	2109	0.89898	1.95355	4.00000
87	20	122	0.64211	2.24450	4.00000
88	68	2091	0.91791	1.94132	4.00000
89	6	10	0.66667	2.71149	5.00000
90	31	246	0.52903	2.18337	5.00000
91	92	2515	0.60081	1.85819	4.00000
92	26	325	1.00000	2.25428	4.00000
93	28	326	0.86243	2.22494	4.00000
94	43	449	0.49723	2.07090	4.00000
95	122	3566	0.48313	1.75550	4.00000
96	11	26	0.47273	2.39364	4.00000
97	24	146	0.52899	2.19071	4.00000
98	95	2713	0.60761	1.84597	4.00000
99	5	10	1.00000	2.67237	5.00000
100	9	20	0.55556	2.60880	5.00000
101	5	10	1.00000	2.67237	5.00000
102	39	347	0.46829	2.09535	4.00000
103	10	45	1.00000	2.44499	5.00000
104	93	2833	0.66223	1.85086	4.00000
105	25	182	0.60667	2.27384	5.00000
106	4	6	1.00000	2.53545	4.00000
107	111	2213	0.36249	1.78729	3.00000
108	81	2266	0.69938	1.91443	4.00000
109	4	6	1.00000	2.98044	4.00000
110	17	84	0.61765	2.32029	4.00000
111	14	37	0.40659	2.46944	4.00000
112	21	112	0.53333	2.24450	5.00000
113	17	92	0.67647	2.30073	4.00000
114	14	79	0.86813	2.32274	5.00000
115	28	159	0.42063	2.16870	4.00000
116	82	2261	0.68082	1.88264	4.00000
117	50	556	0.45388	2.07335	4.00000
118	104	3037	0.56703	1.79951	4.00000
119	13	78	1.00000	2.39853	5.00000
120	117	3162	0.46596	1.76284	4.00000
121	29	344	0.84729	2.21271	4.00000
122	9	28	0.77778	2.69927	5.00000
123	17	136	1.00000	2.39853	5.00000
124	48	760	0.67376	1.99756	4.00000
125	71	2155	0.86720	1.93888	4.00000
126	43	466	0.51606	2.10758	4.00000
127	6	15	1.00000	2.65770	5.00000
128	71	2130	0.85714	1.94132	4.00000
129	17	55	0.40441	2.25672	4.00000
130	15	41	0.39048	2.51834	5.00000
131	2	1	1.00000	2.83130	5.00000
132	52	761	0.57391	2.03912	4.00000
133	3	3	1.00000	2.76528	5.00000
134	91	2892	0.70623	1.85330	4.00000
135	23	211	0.83399	2.19315	4.00000
136	18	51	0.33333	2.25917	4.00000
137	3	1	0.33333	3.05868	5.00000
138	23	206	0.81423	2.24450	4.00000
139	106	3183	0.57197	1.80196	4.00000
140	43	453	0.50166	2.10269	4.00000
141	17	88	0.64706	2.33741	4.00000
142	72	2152	0.84194	1.92421	4.00000
143	85	2405	0.67367	1.87042	4.00000
144	8	14	0.50000	2.51345	4.00000
145	20	127	0.66842	2.33252	5.00000
146	4	3	0.50000	2.74572	5.00000
147	37	569	0.85435	2.09780	4.00000
148	83	1716	0.50426	1.87775	4.00000
149	8	12	0.42857	2.60880	5.00000
150	19	86	0.50292	2.30318	4.00000
151	10	27	0.60000	2.41565	4.00000
152	110	3458	0.57681	1.79707	4.00000
153	17	85	0.62500	2.46455	4.00000
154	32	350	0.70565	2.19315	4.00000
155	20	79	0.41579	2.22494	4.00000
156	7	21	1.00000	2.50122	4.00000
157	26	209	0.64308	2.25917	4.00000
158	22	87	0.37662	2.32518	4.00000
159	29	250	0.61576	2.21271	4.00000
160	137	5033	0.54025	1.72127	4.00000
161	7	21	1.00000	2.50122	4.00000
162	52	793	0.59804	2.06112	4.00000
163	99	2935	0.60503	1.82641	4.00000
164	72	2312	0.90454	1.90709	4.00000
165	74	2322	0.85968	1.89976	4.00000
166	90	2905	0.72534	1.85575	4.00000
167	14	60	0.65934	2.36675	4.00000
168	18	90	0.58824	2.31296	4.00000
169	128	4626	0.56914	1.74328	4.00000
170	33	360	0.68182	2.18582	4.00000
171	47	715	0.66142	2.07090	4.00000
172	24	238	0.86232	2.24694	5.00000
173	30	247	0.56782	2.16870	4.00000
174	38	315	0.44808	2.13203	4.00000
175	171	5828	0.40096	1.61858	4.00000
176	1	0	    NaN	3.69682	6.00000
177	69	972	0.41432	1.94132	3.00000
178	4	6	1.00000	2.93154	5.00000
179	53	883	0.64078	1.98533	4.00000
180	23	234	0.92490	2.24939	5.00000
181	37	666	1.00000	2.12225	4.00000
182	50	839	0.68490	2.05868	4.00000
183	48	791	0.70124	2.06846	4.00000
184	38	666	0.94737	2.11980	4.00000
185	123	3626	0.48327	1.76039	4.00000
186	105	3067	0.56172	1.82152	4.00000
187	115	3295	0.50267	1.77751	4.00000
188	64	1033	0.51240	1.95844	4.00000
189	106	1978	0.35544	1.80685	3.00000
190	39	671	0.90553	2.08802	4.00000
191	45	740	0.74747	2.08068	4.00000
192	46	712	0.68792	2.04645	4.00000
193	61	1269	0.69344	1.96822	4.00000
194	37	666	1.00000	2.12225	4.00000
195	13	78	1.00000	2.32518	4.00000
196	100	3087	0.62364	1.83130	4.00000
197	27	171	0.48718	2.21027	4.00000
198	60	970	0.54802	2.01222	4.00000
199	36	376	0.59683	2.12225	4.00000
200	28	378	1.00000	2.13203	4.00000
201	92	2835	0.67726	1.84108	4.00000
202	36	410	0.65079	2.06601	4.00000
203	93	1776	0.41515	1.84108	3.00000
204	139	4146	0.43228	1.70660	4.00000
205	46	515	0.49758	2.02200	4.00000
206	28	378	1.00000	2.13203	4.00000
207	52	658	0.49623	2.02689	4.00000
208	45	609	0.61515	2.02934	4.00000
209	29	378	0.93103	2.12958	4.00000
210	28	378	1.00000	2.13203	4.00000
211	64	868	0.43056	2.00733	4.00000
212	129	3824	0.46318	1.74328	4.00000
213	37	412	0.61862	2.08802	4.00000
214	60	771	0.43559	1.99756	4.00000
215	135	2969	0.32825	1.72127	4.00000
216	125	3716	0.47948	1.73839	4.00000
217	6	7	0.46667	2.57946	5.00000
218	121	4485	0.61777	1.76528	4.00000
219	6	15	1.00000	2.53545	5.00000
220	73	2345	0.89231	1.90709	4.00000
221	54	838	0.58560	1.98044	4.00000
222	12	30	0.45455	2.40098	4.00000
223	80	2367	0.74905	1.88998	4.00000
