i	Degree	Interconnections	CC	APL	SS
0	7	21	1.00000	2.12000	4.00000
1	4	3	0.50000	2.20000	4.00000
2	9	22	0.61111	1.80000	3.00000
3	7	21	1.00000	2.12000	4.00000
4	8	22	0.78571	2.08000	4.00000
5	5	7	0.70000	2.48000	5.00000
6	2	1	1.00000	2.40000	4.00000
7	7	6	0.28571	1.88000	3.00000
8	2	1	1.00000	3.72000	5.00000
9	3	1	0.33333	2.80000	4.00000
10	5	6	0.60000	2.48000	5.00000
11	13	32	0.41026	1.72000	4.00000
12	2	0	0.00000	2.64000	4.00000
13	3	3	1.00000	2.52000	4.00000
14	9	24	0.66667	1.88000	4.00000
15	1	0	    NaN	2.96000	4.00000
16	2	1	1.00000	2.96000	5.00000
17	9	22	0.61111	2.04000	4.00000
18	2	1	1.00000	2.96000	5.00000
19	8	22	0.78571	2.08000	4.00000
20	4	6	1.00000	2.52000	5.00000
21	1	0	    NaN	3.16000	5.00000
22	3	3	1.00000	2.52000	4.00000
23	5	7	0.70000	2.48000	5.00000
24	2	1	1.00000	3.72000	5.00000
25	7	4	0.19048	2.00000	3.00000
