i	Degree	Interconnections	CC	APL	SS
0	37	666	1.00000	2.08772	6.00000
1	22	157	0.67965	2.28947	6.00000
2	54	906	0.63312	1.95175	6.00000
3	47	793	0.73358	2.02193	6.00000
4	40	684	0.87692	2.05263	6.00000
5	48	789	0.69947	1.97368	6.00000
6	43	574	0.63566	2.02632	5.00000
7	8	21	0.75000	2.69298	5.00000
8	1	0	    NaN	3.68860	6.00000
9	14	91	1.00000	2.36842	6.00000
10	1	0	    NaN	3.18421	6.00000
11	17	121	0.88971	2.33333	6.00000
12	55	656	0.44175	1.95614	5.00000
13	3	3	1.00000	2.88596	7.00000
14	42	705	0.81882	2.04386	6.00000
15	18	113	0.73856	2.29386	6.00000
16	25	161	0.53667	2.17105	6.00000
17	51	801	0.62824	1.96491	6.00000
18	66	1147	0.53473	1.85526	5.00000
19	65	1007	0.48413	1.88158	6.00000
20	22	128	0.55411	2.18860	5.00000
21	38	480	0.68279	2.15351	5.00000
22	41	326	0.39756	2.07018	5.00000
23	47	722	0.66790	2.00439	5.00000
24	12	66	1.00000	2.53947	6.00000
25	19	97	0.56725	2.31579	6.00000
26	26	195	0.60000	2.21930	6.00000
27	8	20	0.71429	2.52632	6.00000
28	63	987	0.50538	1.89912	6.00000
29	12	31	0.46970	2.42544	5.00000
30	15	80	0.76190	2.32018	6.00000
31	2	1	1.00000	3.43421	7.00000
32	14	67	0.73626	2.51754	6.00000
33	5	4	0.40000	3.02193	7.00000
34	53	810	0.58781	1.96053	6.00000
35	1	0	    NaN	3.58333	8.00000
36	3	3	1.00000	3.11404	7.00000
37	11	55	1.00000	2.48246	6.00000
38	27	224	0.63818	2.23246	6.00000
39	36	312	0.49524	2.14474	6.00000
40	42	360	0.41812	2.02193	6.00000
41	26	144	0.44308	2.23684	6.00000
42	14	54	0.59341	2.43860	6.00000
43	47	812	0.75116	2.01316	6.00000
44	33	445	0.84280	2.16228	5.00000
45	40	510	0.65385	2.12281	5.00000
46	37	476	0.71471	2.14035	5.00000
47	71	1274	0.51268	1.82895	5.00000
48	66	1167	0.54406	1.86404	5.00000
49	65	1149	0.55240	1.87719	5.00000
50	34	446	0.79501	2.20614	5.00000
51	13	42	0.53846	2.47807	5.00000
52	33	445	0.84280	2.16228	5.00000
53	6	10	0.66667	2.87281	5.00000
54	15	37	0.35238	2.35526	4.00000
55	46	566	0.54686	2.02632	4.00000
56	15	105	1.00000	2.40351	5.00000
57	16	105	0.87500	2.38596	5.00000
58	62	929	0.49127	1.91228	5.00000
59	4	2	0.33333	2.83772	6.00000
60	11	33	0.60000	2.51316	5.00000
61	51	761	0.59686	1.98246	6.00000
62	4	6	1.00000	2.96930	6.00000
63	8	14	0.50000	2.67544	6.00000
64	4	6	1.00000	2.96930	6.00000
65	25	156	0.52000	2.22368	6.00000
66	5	10	1.00000	2.73246	6.00000
67	50	804	0.65633	2.00877	6.00000
68	11	35	0.63636	2.63158	5.00000
69	3	3	1.00000	2.81579	7.00000
70	57	535	0.33521	1.94737	6.00000
71	19	126	0.73684	2.26316	6.00000
72	3	3	1.00000	3.28947	7.00000
73	6	6	0.40000	2.95175	6.00000
74	8	10	0.35714	2.82018	6.00000
75	25	143	0.47667	2.24123	5.00000
76	3	3	1.00000	3.10526	6.00000
77	16	106	0.88333	2.36842	5.00000
78	10	45	1.00000	2.50877	6.00000
79	27	210	0.59829	2.21053	6.00000
80	2	1	1.00000	3.01316	6.00000
81	32	437	0.88105	2.21491	5.00000
82	2	1	1.00000	2.91667	6.00000
83	49	815	0.69303	1.99561	6.00000
84	17	121	0.88971	2.30702	6.00000
85	9	8	0.22222	2.64035	6.00000
86	56	901	0.58506	1.94737	6.00000
87	8	22	0.78571	2.55263	6.00000
88	34	456	0.81283	2.20614	5.00000
89	4	6	1.00000	2.92982	7.00000
90	16	84	0.70000	2.29386	6.00000
91	40	347	0.44487	2.02193	6.00000
92	6	7	0.46667	2.85526	7.00000
93	13	29	0.37179	2.46491	6.00000
94	5	5	0.50000	2.85965	6.00000
95	59	970	0.56692	1.93860	6.00000
96	11	23	0.41818	2.50439	6.00000
97	1	0	    NaN	3.58333	8.00000
98	11	45	0.81818	2.58772	7.00000
99	38	667	0.94879	2.08333	6.00000
100	48	815	0.72252	1.99561	6.00000
101	18	83	0.54248	2.42982	6.00000
102	23	104	0.41107	2.24561	6.00000
103	37	284	0.42643	2.12719	6.00000
104	15	105	1.00000	2.43860	6.00000
105	24	166	0.60145	2.20614	6.00000
106	19	127	0.74269	2.39474	6.00000
107	16	105	0.87500	2.43421	6.00000
