i	Degree	Interconnections	CC	APL	SS
0	198	19503	1.00000	1.83366	3.00000
1	209	20379	0.93757	1.82094	3.00000
2	137	6982	0.74946	1.90313	3.00000
3	306	31336	0.67151	1.71429	3.00000
4	263	25133	0.72949	1.76321	3.00000
5	203	19694	0.96054	1.82877	3.00000
6	249	24809	0.80350	1.77691	3.00000
7	339	33065	0.57714	1.67808	3.00000
8	245	24616	0.82355	1.78082	3.00000
9	267	25991	0.73191	1.75832	3.00000
10	340	33023	0.57302	1.68102	3.00000
11	267	25184	0.70919	1.76810	3.00000
12	52	1163	0.87707	2.04305	4.00000
13	75	1814	0.65369	1.99119	4.00000
14	117	6670	0.98291	1.93346	3.00000
15	372	36960	0.53561	1.64775	3.00000
16	7	21	1.00000	2.52838	4.00000
17	192	16996	0.92692	1.84932	3.00000
18	29	158	0.38916	2.15460	4.00000
19	213	20423	0.90455	1.81605	3.00000
20	239	21559	0.75803	1.78865	3.00000
21	349	38596	0.63558	1.67906	3.00000
22	91	4095	1.00000	1.99315	4.00000
23	1	0	    NaN	2.81996	4.00000
24	358	36212	0.56667	1.66047	3.00000
25	65	2025	0.97356	2.00685	4.00000
26	65	2018	0.97019	2.00978	4.00000
27	283	22692	0.56868	1.74364	3.00000
28	30	435	1.00000	2.12035	4.00000
29	142	6414	0.64070	1.89628	3.00000
30	216	20752	0.89371	1.81409	3.00000
31	89	2253	0.57533	1.96673	3.00000
32	68	1638	0.71905	2.01174	4.00000
33	57	1488	0.93233	2.03327	4.00000
34	77	1803	0.61620	1.99511	4.00000
35	58	1494	0.90381	2.03033	4.00000
36	223	20968	0.84709	1.80626	3.00000
37	175	8821	0.57938	1.86008	3.00000
38	114	2963	0.46002	1.93053	4.00000
39	307	27735	0.59047	1.71722	3.00000
40	63	1554	0.79570	2.02250	3.00000
41	207	10525	0.49364	1.81898	3.00000
42	134	5352	0.60061	1.91194	3.00000
43	152	6642	0.57877	1.90509	4.00000
44	171	7561	0.52019	1.86008	3.00000
45	129	3837	0.46475	1.91389	4.00000
46	82	2058	0.61969	1.97652	4.00000
47	243	21866	0.74367	1.78278	3.00000
48	127	3728	0.46594	1.91683	4.00000
49	311	28945	0.60046	1.70939	3.00000
50	306	26983	0.57823	1.71722	3.00000
51	377	40704	0.57430	1.64775	3.00000
52	368	34307	0.50804	1.65362	3.00000
53	381	36277	0.50113	1.63503	3.00000
54	423	46320	0.51897	1.59589	3.00000
55	77	1919	0.65584	1.99511	3.00000
56	379	36129	0.50438	1.63992	3.00000
57	59	1508	0.88136	2.02740	4.00000
58	417	39398	0.45423	1.60078	3.00000
59	217	11988	0.51152	1.80822	3.00000
60	300	24366	0.54328	1.72896	3.00000
61	89	2302	0.58784	1.97847	4.00000
62	212	11455	0.51216	1.81213	3.00000
63	58	1490	0.90139	2.03229	4.00000
64	248	13097	0.42762	1.77299	3.00000
65	404	45064	0.55357	1.61742	3.00000
66	282	22060	0.55678	1.74755	3.00000
67	252	20176	0.63796	1.77593	3.00000
68	207	11153	0.52310	1.81605	3.00000
69	236	13128	0.47342	1.78767	3.00000
70	369	33652	0.49564	1.64971	3.00000
71	445	45810	0.46371	1.57534	3.00000
72	62	1535	0.81174	2.02446	4.00000
73	178	8296	0.52663	1.85421	3.00000
74	114	2822	0.43813	1.92661	3.00000
75	439	39765	0.41361	1.57926	3.00000
76	411	38948	0.46226	1.60470	3.00000
77	391	41021	0.53802	1.63209	3.00000
78	186	7782	0.45231	1.84834	3.00000
79	329	25695	0.47622	1.69569	3.00000
80	125	5238	0.67587	1.93346	4.00000
81	215	18059	0.78500	1.82290	3.00000
82	50	776	0.63347	2.07143	4.00000
83	219	12335	0.51674	1.80724	3.00000
84	252	21946	0.69392	1.77593	3.00000
85	207	11826	0.55466	1.82094	3.00000
86	245	19159	0.64098	1.78865	3.00000
87	1	0	    NaN	2.93249	4.00000
88	146	5993	0.56618	1.89237	3.00000
89	86	3655	1.00000	1.97750	3.00000
90	118	4607	0.66739	1.93151	3.00000
91	141	6294	0.63769	1.89824	3.00000
92	349	34229	0.56366	1.67221	3.00000
93	265	25043	0.71592	1.75930	3.00000
94	275	26072	0.69202	1.74853	3.00000
95	350	33850	0.55424	1.67221	3.00000
96	56	1100	0.71429	2.04012	4.00000
97	314	29978	0.61004	1.70450	3.00000
98	276	26895	0.70870	1.74853	3.00000
99	291	27319	0.64745	1.73288	3.00000
100	248	21732	0.70955	1.78082	3.00000
101	89	1965	0.50179	1.96086	4.00000
102	236	21236	0.76581	1.79159	3.00000
103	52	701	0.52866	2.02446	4.00000
104	113	5554	0.87769	1.94031	3.00000
105	16	120	1.00000	2.19765	4.00000
106	99	3929	0.80994	1.95890	3.00000
107	30	228	0.52414	2.11350	4.00000
108	31	291	0.62581	2.10274	3.00000
109	23	223	0.88142	2.15851	4.00000
110	18	124	0.81046	2.16341	4.00000
111	289	18221	0.43784	1.73483	3.00000
112	240	18903	0.65910	1.79061	3.00000
113	39	435	0.58704	2.06067	4.00000
114	230	14225	0.54016	1.79648	3.00000
115	52	641	0.48341	2.04110	3.00000
116	346	31042	0.52010	1.67515	3.00000
117	252	13945	0.44093	1.77006	3.00000
118	129	5740	0.69525	1.92564	3.00000
119	292	25197	0.59307	1.72994	3.00000
120	382	40878	0.56173	1.64579	3.00000
121	378	31918	0.44795	1.64384	3.00000
122	355	38986	0.62045	1.67221	3.00000
123	75	951	0.34270	1.99119	4.00000
124	20	190	1.00000	2.14384	4.00000
125	29	240	0.59113	2.09785	4.00000
126	201	17324	0.86189	1.83953	3.00000
127	82	2269	0.68323	1.98826	4.00000
128	72	1083	0.42371	1.99413	3.00000
129	61	896	0.48962	2.01663	3.00000
130	85	2416	0.67675	1.98337	4.00000
131	69	1292	0.55072	2.00000	4.00000
132	82	1487	0.44776	1.98532	4.00000
133	383	36857	0.50383	1.63601	3.00000
134	46	568	0.54879	2.04892	4.00000
135	229	10665	0.40853	1.80235	3.00000
136	179	6244	0.39194	1.85616	4.00000
137	464	49065	0.45678	1.55773	3.00000
138	37	430	0.64565	2.08708	4.00000
139	67	1624	0.73451	2.00489	4.00000
140	17	97	0.71324	2.31018	4.00000
141	156	8217	0.67965	1.88063	3.00000
142	64	1910	0.94742	2.00685	3.00000
143	56	1540	1.00000	2.04697	4.00000
144	169	9268	0.65286	1.86693	3.00000
145	220	11990	0.49772	1.80528	3.00000
146	272	17249	0.46801	1.75342	3.00000
147	143	5162	0.50842	1.89432	3.00000
148	76	1893	0.66421	2.00783	4.00000
149	137	4740	0.50880	1.91585	3.00000
150	113	3167	0.50047	1.94521	3.00000
151	164	4863	0.36383	1.88063	4.00000
152	114	5712	0.88682	1.93640	3.00000
153	68	1023	0.44908	1.99609	4.00000
154	170	8761	0.60989	1.85714	3.00000
155	135	5171	0.57170	1.89922	3.00000
156	97	2326	0.49957	1.95793	4.00000
157	120	3025	0.42367	1.91389	3.00000
158	109	4010	0.68128	1.93542	3.00000
159	233	20878	0.77246	1.79452	3.00000
160	295	27566	0.63567	1.72701	3.00000
161	60	1146	0.64746	2.02838	4.00000
162	140	6592	0.67749	1.90998	3.00000
163	42	693	0.80488	2.10665	4.00000
164	70	1273	0.52712	2.01468	3.00000
165	192	16937	0.92370	1.85323	3.00000
166	228	19261	0.74430	1.81018	3.00000
167	206	17648	0.83580	1.83072	3.00000
168	340	38391	0.66616	1.68787	3.00000
169	217	18057	0.77048	1.81800	3.00000
170	278	25971	0.67452	1.75147	3.00000
171	388	44049	0.58671	1.63307	3.00000
172	351	38617	0.62869	1.67417	3.00000
173	340	38391	0.66616	1.68787	3.00000
174	214	18012	0.79031	1.82290	3.00000
175	340	38187	0.66262	1.68787	3.00000
176	339	38083	0.66473	1.68885	3.00000
177	194	17025	0.90941	1.84540	3.00000
178	424	45846	0.51124	1.59589	3.00000
179	201	17936	0.89234	1.84344	3.00000
180	398	44409	0.56212	1.62329	3.00000
181	450	49807	0.49302	1.56751	3.00000
182	278	25971	0.67452	1.75147	3.00000
183	335	30319	0.54194	1.68787	3.00000
184	264	22165	0.63847	1.77104	3.00000
185	464	43925	0.40892	1.55577	3.00000
186	335	31253	0.55864	1.68885	3.00000
187	347	38480	0.64100	1.68102	3.00000
188	201	17358	0.86358	1.84149	3.00000
189	184	16836	1.00000	1.86106	3.00000
190	276	24386	0.64258	1.75147	3.00000
191	273	23813	0.64138	1.76125	3.00000
192	334	26223	0.47154	1.68982	3.00000
193	191	17101	0.94246	1.85421	3.00000
194	247	20398	0.67141	1.78376	3.00000
195	241	19994	0.69136	1.79159	3.00000
196	311	27392	0.56824	1.71429	3.00000
197	220	18731	0.77754	1.81996	3.00000
198	49	780	0.66327	2.06654	4.00000
199	192	16937	0.92370	1.85323	3.00000
200	52	923	0.69608	2.05675	4.00000
201	35	340	0.57143	2.19667	4.00000
202	93	3392	0.79289	1.97260	3.00000
203	18	84	0.54902	2.20939	4.00000
204	14	67	0.73626	2.44814	4.00000
205	236	19375	0.69870	1.80235	3.00000
206	87	1952	0.52179	1.97847	4.00000
207	261	21374	0.62994	1.77202	3.00000
208	79	3081	1.00000	1.97750	4.00000
209	107	3738	0.65914	1.92661	4.00000
210	371	37023	0.53942	1.64677	3.00000
211	81	3087	0.95278	1.97554	4.00000
212	133	4571	0.52073	1.89922	4.00000
213	189	8799	0.49527	1.84540	3.00000
214	306	31336	0.67151	1.71429	3.00000
215	387	36819	0.49295	1.63209	3.00000
216	199	11465	0.58195	1.82779	3.00000
217	264	21727	0.62585	1.77104	3.00000
218	327	30422	0.57076	1.69374	3.00000
219	448	49021	0.48958	1.57143	3.00000
220	283	22363	0.56043	1.75049	3.00000
221	230	9679	0.36753	1.79941	3.00000
222	335	30669	0.54820	1.68885	3.00000
223	497	52696	0.42753	1.52250	3.00000
224	212	10039	0.44885	1.82485	3.00000
225	221	11097	0.45648	1.81018	3.00000
226	253	13091	0.41066	1.77789	3.00000
227	15	105	1.00000	2.34051	4.00000
228	32	261	0.52621	2.15656	3.00000
229	75	1382	0.49802	1.99511	3.00000
230	88	2559	0.66850	1.96282	3.00000
231	268	23760	0.66410	1.75734	3.00000
232	10	45	1.00000	2.43444	4.00000
233	16	67	0.55833	2.31605	4.00000
234	10	45	1.00000	2.43444	4.00000
235	125	4046	0.52206	1.91194	3.00000
236	76	1195	0.41930	2.00391	3.00000
237	41	820	1.00000	2.09589	4.00000
238	280	26155	0.66961	1.74462	3.00000
239	88	2200	0.57471	1.97358	3.00000
240	132	5882	0.68031	1.92466	4.00000
241	313	28903	0.59193	1.70744	3.00000
242	226	14477	0.56940	1.80039	3.00000
243	158	7188	0.57954	1.88650	3.00000
244	309	27801	0.58423	1.71624	3.00000
245	95	2222	0.49765	1.96967	3.00000
246	16	120	1.00000	2.25147	4.00000
247	29	214	0.52709	2.12916	4.00000
248	348	23767	0.39364	1.67221	3.00000
249	268	25228	0.70513	1.75636	3.00000
250	92	2471	0.59030	1.96967	4.00000
251	233	18471	0.68340	1.79941	3.00000
252	35	315	0.52941	2.08904	4.00000
253	34	245	0.43672	2.13014	4.00000
