i	Degree	Interconnections	CC	APL	SS
0	25	300	1.00000	2.01600	3.00000
1	14	59	0.64835	2.28800	4.00000
2	32	359	0.72379	1.91200	3.00000
3	26	301	0.92615	1.99200	3.00000
4	30	332	0.76322	1.93600	3.00000
5	20	117	0.61579	2.12800	4.00000
6	10	45	1.00000	2.36000	4.00000
7	26	136	0.41846	2.11200	4.00000
8	1	0	    NaN	2.77600	4.00000
9	28	313	0.82804	1.95200	3.00000
10	12	41	0.62121	2.28000	4.00000
11	14	60	0.65934	2.23200	4.00000
12	39	400	0.53981	1.84000	3.00000
13	43	415	0.45958	1.74400	3.00000
14	16	66	0.55000	2.16800	4.00000
15	24	99	0.35870	2.04800	4.00000
16	32	328	0.66129	1.89600	3.00000
17	4	6	1.00000	2.99200	5.00000
18	12	36	0.54545	2.32000	4.00000
19	37	388	0.58258	1.82400	3.00000
20	6	7	0.46667	2.49600	4.00000
21	8	21	0.75000	2.30400	4.00000
22	5	6	0.60000	2.96000	5.00000
23	4	3	0.50000	3.00800	5.00000
24	33	337	0.63826	1.87200	3.00000
25	1	0	    NaN	3.68000	5.00000
26	3	3	1.00000	3.07200	5.00000
27	7	21	1.00000	2.60800	5.00000
28	18	79	0.51634	2.16800	4.00000
29	26	132	0.40615	1.98400	4.00000
30	13	35	0.44872	2.32000	4.00000
31	32	353	0.71169	1.88000	3.00000
32	15	79	0.75238	2.27200	4.00000
33	20	102	0.53684	2.20800	4.00000
34	43	446	0.49391	1.76000	3.00000
35	38	398	0.56615	1.84800	3.00000
36	17	87	0.63971	2.32800	4.00000
37	8	16	0.57143	2.42400	4.00000
38	8	10	0.35714	2.67200	5.00000
39	7	21	1.00000	2.57600	4.00000
40	8	21	0.75000	2.54400	4.00000
41	2	0	0.00000	2.86400	4.00000
42	30	311	0.71494	1.92800	3.00000
43	4	6	1.00000	3.06400	5.00000
44	6	7	0.46667	2.65600	4.00000
45	4	6	1.00000	3.06400	5.00000
46	16	50	0.41667	2.23200	4.00000
47	3	3	1.00000	2.72000	4.00000
48	34	362	0.64528	1.88000	3.00000
49	2	1	1.00000	3.78400	5.00000
50	4	2	0.33333	3.49600	5.00000
51	4	2	0.33333	2.82400	4.00000
52	2	1	1.00000	3.51200	5.00000
53	6	15	1.00000	2.60800	4.00000
54	16	76	0.63333	2.24800	4.00000
55	1	0	    NaN	3.29600	5.00000
56	2	1	1.00000	2.77600	4.00000
57	34	356	0.63458	1.84800	3.00000
58	37	373	0.56006	1.82400	3.00000
59	1	0	    NaN	3.68000	5.00000
60	5	6	0.60000	2.68800	4.00000
61	26	300	0.92308	2.00800	3.00000
62	10	45	1.00000	2.45600	4.00000
63	15	67	0.63810	2.24000	4.00000
64	13	55	0.70513	2.34400	4.00000
65	44	416	0.43975	1.78400	3.00000
66	18	71	0.46405	2.21600	4.00000
67	10	45	1.00000	2.45600	4.00000
68	4	6	1.00000	2.58400	4.00000
69	18	80	0.52288	2.20000	4.00000
70	8	28	1.00000	2.53600	4.00000
71	32	338	0.68145	1.94400	3.00000
72	9	29	0.80556	2.48000	4.00000
73	28	149	0.39418	1.94400	4.00000
74	47	418	0.38668	1.74400	3.00000
75	8	28	1.00000	2.53600	4.00000
76	16	59	0.49167	2.22400	4.00000
77	8	28	1.00000	2.53600	4.00000
78	27	310	0.88319	2.00000	3.00000
79	18	85	0.55556	2.23200	4.00000
80	1	0	    NaN	3.51200	5.00000
81	19	76	0.44444	2.21600	4.00000
82	3	1	0.33333	3.19200	5.00000
83	7	16	0.76190	2.52800	4.00000
84	8	16	0.57143	2.52000	4.00000
85	1	0	    NaN	3.21600	5.00000
86	7	9	0.42857	2.52000	4.00000
87	6	9	0.60000	2.86400	5.00000
88	3	3	1.00000	3.23200	5.00000
89	4	6	1.00000	2.69600	4.00000
90	5	6	0.60000	2.68800	4.00000
91	28	306	0.80952	1.97600	3.00000
92	1	0	    NaN	3.00000	4.00000
93	26	300	0.92308	2.00800	3.00000
94	3	3	1.00000	2.80000	4.00000
95	19	101	0.59064	2.27200	4.00000
96	13	78	1.00000	2.36000	4.00000
97	10	19	0.42222	2.54400	4.00000
98	1	0	    NaN	3.44000	5.00000
99	6	15	1.00000	2.54400	4.00000
100	1	0	    NaN	2.93600	5.00000
101	6	15	1.00000	2.60800	4.00000
102	6	15	1.00000	2.60800	4.00000
103	33	334	0.63258	1.95200	3.00000
104	8	10	0.35714	2.36800	4.00000
105	16	67	0.55833	2.20800	4.00000
106	1	0	    NaN	3.30400	5.00000
107	9	20	0.55556	2.51200	4.00000
108	14	78	0.85714	2.28800	4.00000
109	9	16	0.44444	2.44800	4.00000
110	19	94	0.54971	2.26400	4.00000
111	7	21	1.00000	2.57600	4.00000
112	7	21	1.00000	2.57600	4.00000
113	15	84	0.80000	2.34400	4.00000
114	5	7	0.70000	2.62400	4.00000
115	14	24	0.26374	2.43200	4.00000
116	1	0	    NaN	3.44000	5.00000
117	11	45	0.81818	2.44800	4.00000
118	2	1	1.00000	2.88000	4.00000
119	2	1	1.00000	2.88000	4.00000
120	34	360	0.64171	1.89600	3.00000
121	26	117	0.36000	2.03200	4.00000
122	11	45	0.81818	2.44800	4.00000
123	12	55	0.83333	2.31200	4.00000
124	21	116	0.55238	2.16000	4.00000
125	24	106	0.38406	2.02400	4.00000
