i	Degree	Interconnections	CC	APL	SS
0	154	11781	1.00000	1.85439	3.00000
1	160	12118	0.95267	1.84477	3.00000
2	98	3481	0.73238	1.93020	4.00000
3	237	18565	0.66384	1.73526	3.00000
4	209	15404	0.70869	1.77738	3.00000
5	157	11874	0.96962	1.85078	3.00000
6	196	15199	0.79534	1.79663	3.00000
7	263	19512	0.56634	1.70036	3.00000
8	194	15111	0.80717	1.79904	3.00000
9	211	15962	0.72047	1.77738	3.00000
10	212	15848	0.70858	1.78700	4.00000
11	38	611	0.86913	2.13718	4.00000
12	57	1050	0.65789	2.03369	4.00000
13	83	3321	0.97590	1.95909	4.00000
14	296	22660	0.51901	1.65945	3.00000
15	5	10	1.00000	2.72924	5.00000
16	162	12133	0.93037	1.84116	3.00000
17	185	12809	0.75259	1.81107	3.00000
18	274	23670	0.63287	1.69916	3.00000
19	72	2556	1.00000	2.01324	4.00000
20	1	0	    NaN	2.84477	4.00000
21	281	21650	0.55033	1.67629	3.00000
22	51	1227	0.96235	2.04813	4.00000
23	229	14579	0.55845	1.76053	4.00000
24	21	210	1.00000	2.17810	4.00000
25	170	12635	0.87957	1.83273	3.00000
26	75	1573	0.56685	1.97593	3.00000
27	56	1121	0.72792	2.02407	4.00000
28	48	1037	0.91933	2.03971	4.00000
29	61	1188	0.64918	2.00963	4.00000
30	49	1044	0.88776	2.04573	4.00000
31	175	12741	0.83685	1.82431	3.00000
32	135	5129	0.56705	1.88568	3.00000
33	91	1924	0.46984	1.94826	4.00000
34	245	17401	0.58217	1.73285	3.00000
35	53	1086	0.78810	2.02768	3.00000
36	157	5722	0.46725	1.84356	3.00000
37	113	3798	0.60019	1.91937	4.00000
38	123	4255	0.56711	1.91095	4.00000
39	141	4921	0.49858	1.86643	3.00000
40	100	2206	0.44566	1.93983	4.00000
41	70	1476	0.61118	1.98676	4.00000
42	194	13427	0.71722	1.79663	3.00000
43	101	2322	0.45980	1.93622	4.00000
44	242	17063	0.58513	1.72804	3.00000
45	246	16911	0.56117	1.72924	3.00000
46	297	25017	0.56914	1.66667	3.00000
47	294	21298	0.49449	1.66667	3.00000
48	297	21507	0.48928	1.65463	3.00000
49	331	27977	0.51226	1.61492	3.00000
50	64	1293	0.64137	2.00120	3.00000
51	50	1050	0.85714	2.04332	4.00000
52	328	23678	0.44152	1.61733	3.00000
53	163	6557	0.49663	1.83394	3.00000
54	244	15713	0.53002	1.73767	3.00000
55	68	1391	0.61062	1.99759	4.00000
56	169	7074	0.49831	1.82551	3.00000
57	313	27074	0.55448	1.64019	3.00000
58	227	14083	0.54902	1.76053	3.00000
59	204	12874	0.62175	1.79061	3.00000
60	165	6858	0.50687	1.82912	3.00000
61	187	7966	0.45805	1.80505	3.00000
62	352	28201	0.45650	1.59446	3.00000
63	50	1050	0.85714	2.04693	4.00000
